,Songs,Valence,Arousal,Dominance,HRV
0,LAHV/1610,1.17,1.35,4.66,"['69.77', '68.18', '67.42', '66.67', '66.67', '63.83', '62.50', '61.22', '60.00', '58.82', '57.69', '57.14', '56.60', '56.60', '57.14', '57.69', '58.25', '58.82', '58.82', '60.00', '60.61', '61.22', '61.86', '62.50', '62.50', '62.50', '62.50', '63.16', '63.16', '64.52', '64.52', '64.52', '64.52', '65.22', '65.22', '64.52', '63.16', '61.22', '60.61', '60.61', '63.83', '65.22', '65.93']"
1,LAHV/1610,5.94,3.16,5.0,"['75.00', '75.95', '75.95', '75.95', '75.95', '75.95', '76.92', '75.95', '75.95', '75.00', '75.00', '74.07', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '75.95', '75.95', '75.95', '75.00', '75.00', '74.07', '74.07', '75.95', '75.95', '75.95', '76.92', '76.92', '76.92', '76.92', '76.92', '76.92', '76.92', '75.95', '76.92', '77.92', '77.92', '78.95', '78.95']"
2,LAHV/1610,9.0,3.47,9.0,"['80.00', '80.00', '81.08', '81.08', '82.19', '82.19', '83.33', '83.33', '84.51', '85.71', '85.71', '86.96', '86.96', '88.24', '89.55', '89.55', '90.91', '92.31', '92.31', '93.75', '93.75', '93.75', '93.75', '93.75', '93.75', '93.75', '93.75', '93.75', '93.75', '89.55', '89.55', '89.55', '89.55', '89.55', '89.55', '90.91', '90.91', '90.91', '92.31', '92.31', '90.91', '90.91', '90.91']"
3,LAHV/1610,9.0,3.47,9.0,"['88.24', '88.24', '88.24', '88.24', '88.24', '88.24', '88.24', '85.71', '85.71', '84.51', '83.33', '83.33', '83.33', '83.33', '83.33', '82.19', '82.19', '82.19', '82.19', '81.08', '81.08', '78.95', '77.92', '76.92', '75.00', '75.00', '75.00', '75.00', '75.95', '76.92', '77.92', '77.92', '77.92', '77.92', '78.95', '78.95', '80.00', '80.00', '81.08', '82.19', '82.19', '82.19', '82.19']"
4,LAHV/1610,5.56,1.55,4.19,"['70.59', '70.59', '70.59', '70.59', '71.43', '71.43', '71.43', '71.43', '69.77', '68.18', '67.42', '67.42', '67.42', '67.42', '68.97', '68.97', '68.97', '69.77', '70.59', '70.59', '70.59', '68.97', '68.97', '68.97', '68.97', '68.97', '68.97', '70.59', '70.59', '71.43', '71.43', '72.29', '72.29', '73.17', '74.07', '74.07', '74.07', '75.00', '75.00', '75.00', '75.95', '75.95']"
5,LAHV/1610,6.97,5.0,5.0,"['68.97', '68.97', '68.97', '68.18', '68.18', '66.67', '66.67', '63.16', '61.22', '60.61', '61.22', '63.83', '68.18', '68.18', '70.59', '72.29', '73.17', '75.00', '75.00', '74.07', '74.07', '73.17', '73.17', '73.17', '73.17', '73.17', '73.17', '73.17', '73.17', '73.17', '73.17', '72.29', '72.29', '71.43', '72.29', '72.29', '73.17', '73.17', '73.17', '73.17', '73.17', '72.29']"
6,LAHV/1610,6.14,2.86,3.9,"['73.17', '73.17', '73.17', '73.17', '73.17', '72.29', '72.29', '73.17', '73.17', '73.17', '73.17', '73.17', '73.17', '73.17', '73.17', '73.17', '73.17', '73.17', '72.29', '71.43', '70.59', '70.59', '70.59', '70.59', '68.97', '68.18', '67.42', '68.18', '69.77', '70.59', '72.29', '73.17', '72.29', '71.43', '69.77', '69.77', '68.97', '68.97', '68.97', '69.77', '71.43', '71.43']"
7,LAHV/1610,5.0,5.0,5.0,"['95.24', '95.24', '95.24', '95.24', '93.75', '93.75', '93.75', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '90.91', '90.91', '90.91', '89.55', '89.55', '89.55', '89.55', '89.55', '89.55', '90.91', '90.91', '90.91', '90.91', '90.91', '90.91', '90.91', '90.91', '90.91', '92.31', '92.31', '92.31', '92.31', '92.31', '90.91', '90.91', '90.91', '90.91', '90.91']"
8,LAHV/1610,1.0,1.69,5.0,"['57.69', '58.82', '59.41', '60.61', '61.22', '61.22', '60.61', '60.00', '59.41', '59.41', '58.82', '57.69', '57.14', '56.07', '56.60', '57.14', '56.60', '56.60', '55.56', '55.05', '55.56', '57.14', '57.69', '58.25', '59.41', '60.00', '60.61', '61.86', '62.50', '63.83', '63.83', '63.83', '65.22', '65.22', '65.22', '65.93', '65.93', '65.93', '65.93', '65.93', '65.93', '65.22']"
9,LAHV/1610,6.0,2.91,6.02,"['78.95', '81.08', '82.19', '81.08', '76.92', '75.00', '74.07', '74.07', '74.07', '74.07', '72.29', '71.43', '70.59', '69.77', '69.77', '69.77', '71.43', '73.17', '74.07', '74.07', '72.29', '72.29', '69.77', '68.97', '68.97', '72.29', '77.92', '78.95', '82.19', '82.19', '82.19', '83.33', '83.33', '84.51', '84.51', '84.51', '82.19', '82.19', '82.19', '81.08', '82.19', '82.19', '82.19']"
10,LAHV/1610,6.61,5.97,7.96,"['100.00', '100.00', '100.00', '98.36', '98.36', '96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '96.77', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '100.00', '100.00', '100.00', '100.00', '100.00', '100.00', '100.00', '100.00', '101.69', '101.69', '101.69', '101.69', '101.69', '101.69', '101.69', '103.45']"
11,LAHV/1610,3.06,4.06,3.94,"['88.24', '89.55', '90.91', '92.31', '93.75', '95.24', '95.24', '96.77', '96.77', '96.77', '95.24', '95.24', '96.77', '96.77', '98.36', '98.36', '98.36', '98.36', '96.77', '96.77', '98.36', '100.00', '100.00', '98.36', '98.36', '96.77', '96.77', '98.36', '100.00', '100.00', '100.00', '101.69', '101.69', '101.69', '103.45', '103.45', '103.45', '105.26', '105.26', '105.26', '105.26', '103.45']"
12,LAHV/1610,7.88,4.07,5.0,"['75.00', '75.95', '75.00', '74.07', '75.00', '75.95', '76.92', '78.95', '78.95', '78.95', '78.95', '76.92', '75.95', '75.00', '74.07', '74.07', '74.07', '74.07', '74.07', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '75.95', '75.95', '76.92', '76.92', '76.92', '75.95', '75.95', '75.95', '75.95', '75.95', '75.00', '75.00', '75.00', '74.07', '75.00', '75.00', '75.00']"
13,LAHV/1610,4.3,3.92,5.0,"['81.08', '82.19', '82.19', '83.33', '83.33', '83.33', '83.33', '83.33', '83.33', '82.19', '82.19', '83.33', '82.19', '83.33', '83.33', '82.19', '82.19', '82.19', '82.19', '82.19', '83.33', '82.19', '81.08', '80.00', '78.95', '78.95', '78.95', '80.00', '80.00', '80.00', '78.95', '78.95', '78.95', '78.95', '78.95', '78.95', '80.00', '80.00', '80.00', '81.08', '81.08', '81.08', '81.08']"
14,LAHV/1610,6.92,2.94,6.98,"['76.92', '76.92', '75.95', '76.92', '76.92', '75.95', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '74.07', '74.07', '73.17', '73.17', '74.07', '74.07', '75.00', '75.00', '75.95', '75.95', '75.95', '75.95', '75.95', '75.95', '75.95', '75.95', '75.95', '76.92', '76.92', '76.92', '76.92', '76.92', '76.92', '75.95', '75.95', '75.95', '76.92', '76.92', '75.95']"
15,LAHV/1610,3.0,2.91,4.14,"['77.92', '76.92', '76.92', '76.92', '76.92', '75.95', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '75.95', '75.95', '76.92', '76.92', '76.92', '75.95', '75.95', '75.95', '75.95', '75.95', '75.95', '75.95', '76.92', '77.92', '77.92', '76.92', '76.92', '76.92', '76.92', '76.92', '76.92', '76.92', '76.92', '76.92', '76.92', '75.95', '75.00', '75.00', '75.00', '75.00']"
16,LAHV/1610,4.01,3.94,7.07,"['77.92', '77.92', '78.95', '80.00', '80.00', '77.92', '76.92', '75.00', '74.07', '75.00', '75.00', '75.95', '75.95', '76.92', '76.92', '76.92', '76.92', '76.92', '75.95', '75.95', '75.00', '75.00', '75.95', '75.95', '75.95', '75.95', '76.92', '76.92', '77.92', '78.95', '78.95', '78.95', '77.92', '77.92', '77.92', '76.92', '75.95', '75.95', '75.00', '75.00', '75.00', '75.00']"
17,LAHV/1610,5.0,3.92,4.02,"['81.08', '81.08', '81.08', '82.19', '82.19', '81.08', '81.08', '81.08', '81.08', '81.08', '81.08', '81.08', '81.08', '81.08', '81.08', '82.19', '81.08', '81.08', '80.00', '80.00', '81.08', '81.08', '81.08', '81.08', '81.08', '81.08', '82.19', '82.19', '82.19', '82.19', '82.19', '82.19', '83.33', '83.33', '83.33', '83.33', '84.51', '84.51', '84.51', '84.51', '84.51', '84.51']"
18,LAHV/1610,6.1,3.06,7.81,"['59.41', '58.25', '56.60', '55.05', '54.55', '53.57', '53.10', '53.10', '53.10', '54.05', '54.05', '54.05', '61.86', '62.50', '62.50', '62.50', '61.22', '60.61', '60.00', '59.41', '59.41', '60.61', '60.61', '61.22', '60.00', '59.41', '58.82', '61.86', '63.16', '64.52', '64.52', '65.22', '65.93', '65.22', '64.52', '63.83', '64.52', '73.17', '75.00', '75.95', '75.95', '75.00', '74.07']"
19,LAHV/1610,6.46,6.54,5.0,"['67.42', '67.42', '67.42', '67.42', '67.42', '68.18', '68.97', '69.77', '69.77', '69.77', '69.77', '69.77', '68.97', '68.97', '69.77', '69.77', '68.97', '68.97', '68.18', '68.18', '66.67', '65.22', '64.52', '63.16', '63.16', '63.16', '65.93', '67.42', '68.18', '68.18', '67.42', '66.67', '65.93', '65.93', '65.93', '65.93', '66.67', '67.42', '67.42', '66.67', '65.22', '64.52', '64.52']"
