,Songs,Valence,Arousal,Dominance,HRV
0,HALV/1946,5.48,3.93,6.61,"['68.97', '68.97', '68.18', '68.18', '68.97', '68.97', '68.97', '69.77', '69.77', '69.77', '69.77', '69.77', '69.77', '69.77', '69.77', '70.59', '70.59', '70.59', '70.59', '69.77', '69.77', '68.97', '68.97', '68.97', '68.97', '68.97', '69.77', '69.77', '68.97', '68.97', '68.18', '68.18', '68.97', '71.43', '71.43', '72.29', '72.29', '73.17', '73.17', '73.17', '73.17', '72.29']"
1,HALV/1946,3.13,3.2,3.07,"['78.95', '78.95', '78.95', '81.08', '81.08', '80.00', '80.00', '78.95', '77.92', '77.92', '77.92', '77.92', '78.95', '78.95', '78.95', '80.00', '80.00', '80.00', '81.08', '81.08', '81.08', '82.19', '81.08', '81.08', '81.08', '81.08', '81.08', '80.00', '80.00', '80.00', '78.95', '78.95', '77.92', '77.92', '77.92', '76.92', '75.95', '75.95', '75.00', '74.07', '74.07', '72.29']"
2,HALV/1946,1.0,9.0,2.95,"['89.55', '89.55', '89.55', '89.55', '89.55', '89.55', '89.55', '89.55', '89.55', '90.91', '90.91', '90.91', '90.91', '90.91', '90.91', '90.91', '92.31', '92.31', '93.75', '93.75', '93.75', '93.75', '92.31', '90.91', '90.91', '92.31', '92.31', '93.75', '93.75', '93.75', '95.24', '95.24', '95.24', '96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '95.24', '95.24', '89.55']"
3,HALV/1946,1.0,9.0,2.95,"['80.00', '80.00', '80.00', '78.95', '78.95', '78.95', '80.00', '80.00', '80.00', '80.00', '81.08', '81.08', '80.00', '80.00', '80.00', '80.00', '80.00', '80.00', '78.95', '78.95', '78.95', '78.95', '80.00', '80.00', '80.00', '81.08', '80.00', '80.00', '80.00', '80.00', '80.00', '80.00', '80.00', '80.00', '78.95', '80.00', '80.00', '80.00', '81.08', '81.08', '80.00', '80.00']"
4,HALV/1946,4.08,6.95,2.98,"['77.92', '77.92', '78.95', '78.95', '78.95', '77.92', '77.92', '77.92', '75.95', '74.07', '73.17', '73.17', '72.29', '73.17', '74.07', '75.95', '75.95', '75.00', '74.07', '74.07', '74.07', '74.07', '74.07', '74.07', '74.07', '74.07', '75.00', '75.00', '75.00', '75.95', '75.95', '76.92', '76.92', '76.92', '76.92', '76.92', '75.95', '75.95', '75.95', '76.92', '76.92', '76.92']"
5,HALV/1946,6.52,6.56,6.83,"['65.22', '66.67', '67.42', '68.18', '68.97', '69.77', '70.59', '70.59', '70.59', '70.59', '70.59', '70.59', '70.59', '70.59', '70.59', '70.59', '69.77', '69.77', '70.59', '70.59', '71.43', '72.29', '74.07', '74.07', '74.07', '74.07', '74.07', '74.07', '75.00', '75.00', '75.00', '75.00', '74.07', '74.07', '74.07', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '75.95']"
6,HALV/1946,5.0,7.12,6.99,"['68.18', '69.77', '69.77', '70.59', '71.43', '71.43', '70.59', '70.59', '69.77', '68.97', '68.18', '66.67', '66.67', '65.93', '65.93', '65.22', '65.22', '65.22', '64.52', '63.83', '63.16', '63.16', '63.16', '63.16', '63.83', '64.52', '65.22', '64.52', '64.52', '63.16', '62.50', '62.50', '62.50', '62.50', '62.50', '61.86', '61.86', '61.22', '60.61', '60.00', '60.61', '60.61', '60.61']"
7,HALV/1946,3.91,6.06,5.0,"['98.36', '98.36', '98.36', '98.36', '96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '95.24', '96.77', '96.77', '98.36', '98.36', '96.77', '96.77', '95.24', '95.24', '95.24', '95.24', '95.24', '95.24', '95.24', '95.24', '95.24', '95.24', '95.24', '95.24', '95.24', '95.24', '95.24', '95.24', '95.24', '95.24', '95.24', '95.24', '95.24', '95.24', '93.75', '93.75', '93.75']"
8,HALV/1946,7.84,6.49,5.73,"['60.61', '60.61', '60.61', '60.00', '60.00', '60.00', '60.61', '60.61', '61.86', '61.86', '61.86', '61.22', '60.00', '58.82', '59.41', '60.61', '60.61', '60.00', '60.00', '60.00', '59.41', '59.41', '59.41', '61.22', '61.22', '62.50', '62.50', '62.50', '61.86', '61.22', '60.61', '60.61', '61.22', '60.61', '59.41', '58.82', '59.41', '60.00', '61.22', '61.86', '61.86', '61.86']"
9,HALV/1946,7.07,6.94,6.96,"['89.55', '89.55', '89.55', '89.55', '89.55', '89.55', '88.24', '84.51', '83.33', '82.19', '82.19', '82.19', '83.33', '83.33', '82.19', '82.19', '82.19', '82.19', '82.19', '82.19', '82.19', '82.19', '83.33', '83.33', '84.51', '85.71', '84.51', '84.51', '84.51', '84.51', '84.51', '85.71', '85.71', '85.71', '85.71', '85.71', '84.51', '84.51', '85.71', '85.71', '85.71', '85.71']"
