,Songs,Valence,Arousal,Dominance,HRV
0,LAHV/1714,1.61,1.89,5.06,"['82.19', '83.33', '84.51', '84.51', '84.51', '84.51', '82.19', '82.19', '82.19', '81.08', '81.08', '80.00', '78.95', '78.95', '78.95', '80.00', '80.00', '80.00', '76.92', '76.92', '75.95', '75.00', '74.07', '73.17', '72.29', '70.59', '68.97', '68.18', '66.67', '65.22', '64.52', '63.16', '61.86', '62.50', '65.93', '66.67', '66.67', '65.93', '65.22', '66.67', '67.42', '67.42']"
1,LAHV/1714,7.1,3.04,6.74,"['81.08', '81.08', '81.08', '80.00', '78.95', '78.95', '77.92', '77.92', '76.92', '76.92', '76.92', '76.92', '76.92', '75.95', '75.00', '74.07', '73.17', '73.17', '73.17', '73.17', '75.00', '75.95', '76.92', '76.92', '76.92', '76.92', '76.92', '76.92', '77.92', '77.92', '81.08', '81.08', '80.00', '80.00', '78.95', '78.95', '78.95', '78.95', '78.95', '77.92', '76.92', '76.92']"
2,LAHV/1714,6.15,5.0,5.0,"['85.71', '85.71', '85.71', '86.96', '86.96', '86.96', '86.96', '86.96', '86.96', '88.24', '88.24', '89.55', '89.55', '90.91', '90.91', '92.31', '92.31', '92.31', '92.31', '92.31', '90.91', '90.91', '90.91', '90.91', '90.91', '90.91', '92.31', '92.31', '93.75', '92.31', '92.31', '92.31', '89.55', '88.24', '85.71', '84.51', '84.51', '85.71', '88.24', '89.55', '90.91', '90.91', '90.91']"
3,LAHV/1714,6.15,5.0,5.0,"['81.08', '81.08', '81.08', '81.08', '81.08', '82.19', '82.19', '82.19', '82.19', '82.19', '82.19', '82.19', '82.19', '82.19', '82.19', '82.19', '83.33', '83.33', '83.33', '83.33', '83.33', '83.33', '83.33', '83.33', '83.33', '84.51', '84.51', '84.51', '84.51', '84.51', '84.51', '84.51', '84.51', '84.51', '84.51', '85.71', '84.51', '84.51', '84.51', '84.51', '84.51', '84.51', '84.51']"
4,LAHV/1714,5.48,5.0,5.0,"['74.07', '75.00', '75.00', '75.95', '76.92', '76.92', '75.95', '75.95', '73.17', '65.22', '65.22', '64.52', '63.16', '62.50', '64.52', '64.52', '65.22', '66.67', '67.42', '67.42', '68.18', '68.97', '70.59', '70.59', '72.29', '73.17', '74.07', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '75.95', '77.92', '77.92', '77.92', '77.92', '77.92', '77.92', '77.92']"
5,LAHV/1714,5.0,5.0,5.0,"['75.95', '75.95', '75.00', '75.00', '75.00', '75.00', '74.07', '74.07', '74.07', '74.07', '74.07', '74.07', '73.17', '73.17', '73.17', '73.17', '73.17', '73.17', '74.07', '74.07', '74.07', '74.07', '74.07', '74.07', '74.07', '74.07', '74.07', '74.07', '74.07', '74.07', '74.07', '74.07', '73.17', '73.17', '72.29', '72.29', '72.29', '73.17', '73.17', '74.07', '75.00', '75.95']"
6,LAHV/1714,5.0,3.96,5.0,"['64.52', '64.52', '65.22', '65.22', '65.22', '65.22', '65.22', '65.93', '65.22', '65.93', '65.93', '65.22', '65.22', '65.22', '65.22', '65.22', '64.52', '63.83', '63.16', '63.83', '64.52', '65.22', '65.93', '67.42', '67.42', '68.18', '68.18', '68.18', '68.18', '68.18', '68.18', '68.18', '68.97', '69.77', '69.77', '69.77', '69.77', '68.97', '68.97', '68.18', '67.42', '67.42']"
7,LAHV/1714,3.55,3.99,5.0,"['96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '100.00', '100.00', '100.00', '100.00', '100.00', '100.00', '100.00', '100.00', '100.00', '100.00', '100.00', '98.36']"
8,LAHV/1714,3.81,3.77,5.0,"['59.41', '58.82', '58.25', '59.41', '60.00', '62.50', '63.16', '63.83', '64.52', '64.52', '64.52', '63.83', '63.16', '63.83', '63.83', '64.52', '64.52', '65.22', '65.93', '65.93', '66.67', '65.93', '66.67', '66.67', '65.93', '65.22', '65.22', '65.22', '64.52', '64.52', '64.52', '63.83', '63.83', '63.16', '63.16', '63.16', '63.16', '63.83', '63.83', '64.52', '63.16', '63.16']"
9,LAHV/1714,3.11,2.22,4.24,"['92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '90.91', '88.24', '86.96', '85.71', '85.71', '86.96', '88.24', '89.55', '90.91', '90.91', '90.91', '90.91', '90.91', '90.91', '92.31', '92.31', '93.75', '92.31', '90.91', '89.55', '90.91', '90.91', '90.91', '90.91', '90.91', '89.55', '89.55', '86.96', '85.71', '84.51', '83.33', '83.33', '83.33', '83.33', '83.33', '83.33']"
10,LAHV/1714,4.76,2.74,1.24,"['96.77', '98.36', '98.36', '98.36', '100.00', '100.00', '101.69', '101.69', '101.69', '103.45', '103.45', '105.26', '105.26', '105.26', '105.26', '105.26', '107.14', '107.14', '107.14', '107.14', '107.14', '107.14', '107.14', '107.14', '105.26', '105.26', '105.26', '105.26', '105.26', '105.26', '105.26', '105.26', '105.26', '105.26', '105.26', '105.26', '105.26', '105.26', '105.26', '105.26', '105.26', '105.26', '105.26']"
11,LAHV/1714,7.0,7.08,7.05,"['93.75', '95.24', '96.77', '96.77', '98.36', '98.36', '98.36', '96.77', '96.77', '96.77', '96.77', '98.36', '100.00', '100.00', '100.00', '100.00', '100.00', '100.00', '98.36', '100.00', '100.00', '98.36', '98.36', '96.77', '98.36', '98.36', '98.36', '98.36', '100.00', '100.00', '100.00', '98.36', '98.36', '98.36', '100.00', '100.00', '100.00', '101.69', '101.69', '101.69', '101.69', '101.69', '101.69']"
12,LAHV/1714,3.05,1.0,5.0,"['75.00', '74.07', '74.07', '74.07', '75.00', '75.00', '75.00', '75.00', '75.00', '73.17', '72.29', '72.29', '72.29', '74.07', '75.00', '75.00', '75.00', '73.17', '72.29', '72.29', '72.29', '72.29', '72.29', '73.17', '73.17', '73.17', '73.17', '75.00', '75.00', '75.00', '75.00', '75.95', '75.95', '76.92', '76.92', '76.92', '76.92', '75.95', '75.95', '75.95', '76.92', '76.92']"
13,LAHV/1714,5.0,4.18,5.0,"['73.17', '73.17', '72.29', '72.29', '71.43', '71.43', '71.43', '72.29', '73.17', '74.07', '75.00', '75.00', '75.00', '75.00', '75.95', '75.95', '76.92', '76.92', '76.92', '76.92', '77.92', '77.92', '77.92', '77.92', '78.95', '77.92', '76.92', '76.92', '76.92', '75.00', '75.95', '75.00', '75.00', '75.95', '75.95', '75.95', '75.95', '75.95', '75.00', '75.00', '75.00', '74.07', '75.00']"
14,LAHV/1714,5.97,2.86,5.0,"['74.07', '75.00', '75.00', '75.00', '74.07', '74.07', '74.07', '74.07', '75.00', '75.95', '76.92', '76.92', '76.92', '76.92', '76.92', '76.92', '76.92', '77.92', '77.92', '77.92', '77.92', '76.92', '75.95', '75.95', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '74.07', '74.07', '74.07', '73.17', '73.17', '73.17', '73.17', '73.17', '74.07', '74.07', '75.00', '75.00']"
15,LAHV/1714,6.59,3.77,6.49,"['76.92', '75.95', '75.00', '74.07', '73.17', '73.17', '74.07', '74.07', '74.07', '74.07', '75.00', '75.00', '75.00', '75.95', '75.95', '75.00', '75.00', '75.00', '74.07', '74.07', '74.07', '75.00', '75.00', '75.00', '74.07', '74.07', '73.17', '73.17', '73.17', '74.07', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '75.95', '75.00', '75.00', '75.95', '75.95']"
16,LAHV/1714,6.29,6.45,7.63,"['75.95', '75.95', '75.95', '75.95', '75.00', '74.07', '74.07', '74.07', '74.07', '75.00', '76.92', '77.92', '77.92', '78.95', '78.95', '77.92', '77.92', '77.92', '77.92', '77.92', '77.92', '77.92', '77.92', '76.92', '76.92', '76.92', '76.92', '75.95', '76.92', '76.92', '76.92', '76.92', '75.95', '75.95', '75.95', '75.95', '75.00', '75.00', '75.00', '74.07', '74.07', '74.07']"
17,LAHV/1714,6.42,3.14,6.6,"['78.95', '78.95', '77.92', '78.95', '80.00', '81.08', '81.08', '81.08', '81.08', '80.00', '78.95', '78.95', '78.95', '80.00', '82.19', '83.33', '84.51', '84.51', '85.71', '85.71', '85.71', '85.71', '84.51', '84.51', '83.33', '84.51', '84.51', '85.71', '86.96', '86.96', '86.96', '85.71', '85.71', '85.71', '85.71', '86.96', '86.96', '88.24', '88.24', '88.24', '88.24', '88.24']"
18,LAHV/1714,7.82,1.78,7.42,"['68.18', '68.97', '69.77', '70.59', '70.59', '69.77', '68.97', '68.97', '68.97', '68.97', '70.59', '76.92', '77.92', '78.95', '77.92', '77.92', '76.92', '75.95', '75.95', '75.95', '75.00', '75.00', '73.17', '72.29', '72.29', '72.29', '71.43', '71.43', '70.59', '68.97', '67.42', '65.22', '64.52', '64.52', '64.52', '65.93', '66.67', '67.42', '68.18', '68.97', '69.77', '69.77', '69.77']"
19,LAHV/1714,5.0,6.01,5.0,"['65.22', '65.22', '65.22', '65.22', '64.52', '63.83', '63.16', '62.50', '62.50', '63.83', '66.67', '67.42', '67.42', '67.42', '67.42', '65.93', '65.22', '64.52', '63.83', '63.83', '63.83', '63.83', '63.83', '63.16', '62.50', '62.50', '62.50', '62.50', '63.16', '64.52', '65.93', '66.67', '67.42', '67.42', '66.67', '65.93', '65.93', '65.22', '64.52', '64.52', '65.22', '65.93']"
20,LAHV/1714,9.0,6.73,7.37,"['72.29', '72.29', '73.17', '73.17', '73.17', '74.07', '73.17', '73.17', '73.17', '73.17', '74.07', '74.07', '75.00', '75.00', '75.00', '75.95', '75.00', '75.00', '75.00', '75.00', '75.95', '75.00', '74.07', '74.07', '74.07', '74.07', '73.17', '73.17', '73.17', '72.29', '73.17', '73.17', '73.17', '73.17', '74.07', '74.07', '75.00', '75.00', '75.00', '75.95', '75.95', '75.95']"
21,LAHV/1714,6.02,4.08,5.99,"['85.71', '85.71', '85.71', '86.96', '86.96', '86.96', '86.96', '86.96', '86.96', '86.96', '85.71', '85.71', '84.51', '84.51', '83.33', '83.33', '82.19', '82.19', '82.19', '82.19', '82.19', '82.19', '82.19', '82.19', '82.19', '82.19', '82.19', '82.19', '82.19', '82.19', '83.33', '83.33', '83.33', '83.33', '83.33', '83.33', '83.33', '83.33', '84.51', '84.51', '84.51', '84.51']"
22,LAHV/1714,6.3,2.7,5.0,"['68.18', '68.18', '68.97', '68.97', '68.97', '70.59', '71.43', '71.43', '72.29', '72.29', '72.29', '72.29', '72.29', '71.43', '70.59', '68.97', '68.18', '65.93', '65.93', '65.93', '65.93', '65.93', '67.42', '67.42', '66.67', '65.93', '65.93', '66.67', '67.42', '68.97', '68.97', '68.97', '68.97', '68.97', '69.77', '70.59', '71.43', '71.43', '72.29', '72.29', '72.29', '72.29']"
23,LAHV/1714,5.0,5.83,5.0,"['83.33', '81.08', '81.08', '81.08', '81.08', '81.08', '80.00', '80.00', '80.00', '80.00', '78.95', '78.95', '78.95', '78.95', '81.08', '81.08', '81.08', '81.08', '81.08', '82.19', '82.19', '82.19', '83.33', '84.51', '83.33', '83.33', '83.33', '83.33', '83.33', '83.33', '84.51', '84.51', '85.71', '85.71', '85.71', '85.71', '85.71', '85.71', '84.51', '82.19', '81.08', '81.08', '80.00']"
24,LAHV/1714,6.96,7.64,3.66,"['96.77', '96.77', '95.24', '93.75', '92.31', '92.31', '92.31', '92.31', '92.31', '93.75', '93.75', '93.75', '95.24', '95.24', '95.24', '96.77', '96.77', '98.36', '98.36', '98.36', '98.36', '100.00', '100.00', '100.00', '100.00', '100.00', '101.69', '101.69', '101.69', '101.69', '101.69', '103.45', '103.45', '103.45', '103.45', '103.45', '103.45', '103.45', '103.45', '103.45', '103.45', '103.45']"
