,Songs,Valence,Arousal,Dominance,HRV
0,LAHV/1374,5.02,4.06,5.25,"['73.17', '74.07', '75.00', '74.07', '74.07', '72.29', '71.43', '71.43', '70.59', '70.59', '70.59', '69.77', '69.77', '68.97', '68.97', '68.97', '69.77', '70.59', '69.77', '69.77', '70.59', '70.59', '71.43', '71.43', '71.43', '71.43', '72.29', '72.29', '72.29', '71.43', '71.43', '71.43', '71.43', '72.29', '75.95', '76.92', '77.92', '77.92', '76.92', '76.92', '76.92', '77.92', '78.95']"
1,LAHV/1374,5.0,3.04,3.05,"['69.77', '68.97', '68.18', '67.42', '66.67', '66.67', '66.67', '66.67', '66.67', '68.97', '68.97', '68.97', '68.97', '69.77', '69.77', '70.59', '71.43', '72.29', '72.29', '73.17', '73.17', '74.07', '74.07', '74.07', '75.00', '75.00', '75.00', '75.95', '76.92', '76.92', '76.92', '77.92', '77.92', '77.92', '76.92', '75.95', '74.07', '73.17', '72.29', '71.43', '70.59', '71.43']"
2,LAHV/1374,9.0,1.0,7.64,"['90.91', '90.91', '90.91', '89.55', '89.55', '89.55', '89.55', '88.24', '86.96', '86.96', '86.96', '85.71', '84.51', '83.33', '83.33', '83.33', '83.33', '83.33', '84.51', '84.51', '85.71', '85.71', '85.71', '85.71', '86.96', '88.24', '88.24', '88.24', '89.55', '89.55', '89.55', '89.55', '89.55', '89.55', '89.55', '89.55', '89.55', '89.55', '89.55', '89.55', '89.55', '90.91']"
3,LAHV/1374,9.0,1.0,7.64,"['72.29', '72.29', '72.29', '72.29', '72.29', '73.17', '73.17', '73.17', '74.07', '74.07', '75.00', '75.00', '75.00', '75.95', '75.95', '75.95', '75.00', '74.07', '73.17', '72.29', '72.29', '73.17', '73.17', '75.00', '75.00', '75.95', '75.95', '75.95', '75.95', '75.95', '76.92', '76.92', '76.92', '76.92', '76.92', '76.92', '76.92', '76.92', '76.92', '77.92', '77.92', '77.92']"
4,LAHV/1374,5.0,5.67,4.05,"['76.92', '76.92', '77.92', '77.92', '77.92', '77.92', '77.92', '78.95', '77.92', '76.92', '68.97', '68.97', '68.18', '65.22', '63.16', '61.86', '61.86', '60.61', '60.61', '60.00', '60.00', '58.82', '58.25', '57.69', '57.69', '59.41', '61.22', '62.50', '65.93', '66.67', '67.42', '65.22', '65.22', '64.52', '65.22', '65.93', '68.18', '68.18', '68.18', '68.18', '67.42', '66.67']"
5,LAHV/1374,5.0,5.0,5.0,"['68.18', '68.97', '68.97', '68.97', '69.77', '69.77', '70.59', '70.59', '71.43', '71.43', '72.29', '72.29', '73.17', '73.17', '73.17', '72.29', '72.29', '72.29', '72.29', '73.17', '74.07', '74.07', '75.00', '75.95', '75.00', '74.07', '73.17', '73.17', '73.17', '72.29', '72.29', '72.29', '72.29', '70.59', '69.77', '69.77', '68.97', '68.97', '68.97', '69.77', '69.77', '69.77', '69.77']"
6,LAHV/1374,5.0,5.0,5.0,"['65.93', '65.22', '65.22', '66.67', '66.67', '66.67', '68.18', '68.18', '68.18', '68.18', '68.18', '68.18', '68.18', '68.18', '68.18', '68.18', '68.18', '67.42', '66.67', '65.93', '65.93', '65.93', '66.67', '67.42', '68.18', '69.77', '69.77', '69.77', '69.77', '69.77', '69.77', '68.97', '68.18', '68.18', '67.42', '67.42', '67.42', '66.67', '66.67', '65.93', '65.93', '67.42', '67.42']"
7,LAHV/1374,3.7,5.68,5.0,"['96.77', '96.77', '96.77', '95.24', '95.24', '95.24', '95.24', '96.77', '96.77', '95.24', '95.24', '95.24', '93.75', '92.31', '92.31', '90.91', '90.91', '90.91', '90.91', '90.91', '90.91', '90.91', '90.91', '92.31', '92.31', '92.31', '92.31', '93.75', '93.75', '93.75', '93.75', '93.75', '93.75', '95.24', '95.24', '95.24', '95.24', '95.24', '95.24', '96.77', '96.77', '95.24']"
8,LAHV/1374,6.43,2.63,5.0,"['55.05', '55.05', '55.05', '58.25', '61.86', '64.52', '65.93', '66.67', '68.18', '68.18', '68.97', '68.18', '67.42', '66.67', '65.93', '64.52', '63.83', '63.83', '63.16', '63.16', '62.50', '61.86', '61.86', '61.86', '61.86', '62.50', '63.16', '61.86', '61.22', '60.61', '60.61', '60.61', '61.22', '62.50', '63.16', '63.83', '63.83', '63.16', '62.50', '61.86', '61.86', '61.22']"
9,LAHV/1374,5.0,5.94,5.93,"['84.51', '84.51', '84.51', '84.51', '84.51', '84.51', '83.33', '82.19', '82.19', '78.95', '77.92', '77.92', '78.95', '81.08', '82.19', '82.19', '82.19', '82.19', '82.19', '82.19', '82.19', '83.33', '83.33', '83.33', '84.51', '85.71', '85.71', '85.71', '84.51', '83.33', '82.19', '83.33', '84.51', '84.51', '85.71', '85.71', '85.71', '85.71', '85.71', '85.71', '85.71', '83.33', '83.33']"
10,LAHV/1374,5.96,3.94,3.95,"['95.24', '93.75', '93.75', '93.75', '93.75', '93.75', '95.24', '95.24', '95.24', '95.24', '93.75', '93.75', '93.75', '93.75', '95.24', '95.24', '95.24', '96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '100.00', '100.00', '100.00', '100.00', '100.00', '100.00', '100.00', '100.00', '100.00', '98.36', '96.77', '96.77', '96.77']"
11,LAHV/1374,3.99,1.9,6.83,"['92.31', '93.75', '95.24', '96.77', '96.77', '98.36', '98.36', '96.77', '95.24', '95.24', '93.75', '95.24', '96.77', '98.36', '98.36', '96.77', '96.77', '96.77', '92.31', '92.31', '93.75', '95.24', '96.77', '96.77', '96.77', '96.77', '98.36', '98.36', '98.36', '100.00', '100.00', '98.36', '98.36', '98.36', '96.77', '96.77', '96.77', '98.36', '100.00', '100.00', '100.00', '100.00']"
12,LAHV/1374,1.98,1.0,5.0,"['73.17', '73.17', '73.17', '74.07', '74.07', '74.07', '75.00', '75.00', '75.00', '74.07', '72.29', '71.43', '70.59', '70.59', '73.17', '73.17', '73.17', '74.07', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '74.07', '74.07', '74.07', '75.00', '75.95', '75.95', '76.92', '77.92', '81.08', '81.08', '82.19', '81.08', '80.00', '78.95', '78.95', '77.92']"
13,LAHV/1374,4.52,2.19,3.74,"['85.71', '83.33', '82.19', '81.08', '77.92', '77.92', '77.92', '76.92', '76.92', '76.92', '75.95', '75.95', '75.95', '75.95', '76.92', '77.92', '77.92', '78.95', '77.92', '78.95', '80.00', '81.08', '81.08', '81.08', '81.08', '77.92', '77.92', '75.00', '75.00', '73.17', '72.29', '72.29', '73.17', '74.07', '75.00', '75.00', '75.00', '75.00', '75.00', '73.17', '73.17', '72.29']"
14,LAHV/1374,5.0,6.99,5.0,"['68.97', '68.97', '68.97', '69.77', '69.77', '68.97', '67.42', '66.67', '66.67', '66.67', '65.93', '65.93', '65.93', '65.93', '65.93', '66.67', '66.67', '66.67', '66.67', '66.67', '66.67', '66.67', '65.93', '65.93', '65.93', '65.93', '65.93', '65.93', '65.93', '65.93', '65.93', '65.93', '65.93', '65.93', '65.93', '65.93', '65.93', '66.67', '66.67', '66.67', '66.67', '68.18', '68.18']"
