,Songs,Valence,Arousal,Dominance,HRV
0,HALV/1788,1.0,8.27,2.18,"['81.08', '82.19', '82.19', '82.19', '81.08', '81.08', '77.92', '77.92', '75.00', '74.07', '73.17', '72.29', '72.29', '72.29', '72.29', '73.17', '73.17', '72.29', '72.29', '71.43', '71.43', '70.59', '71.43', '71.43', '72.29', '72.29', '72.29', '72.29', '72.29', '72.29', '72.29', '72.29', '73.17', '74.07', '75.00', '75.00', '75.00', '75.00', '74.07', '74.07', '74.07', '73.17']"
1,HALV/1788,5.63,3.84,5.0,"['73.17', '73.17', '73.17', '73.17', '73.17', '73.17', '73.17', '73.17', '73.17', '74.07', '74.07', '74.07', '74.07', '74.07', '74.07', '75.00', '75.00', '75.95', '75.95', '76.92', '76.92', '76.92', '76.92', '76.92', '77.92', '77.92', '76.92', '76.92', '77.92', '77.92', '77.92', '76.92', '76.92', '76.92', '76.92', '76.92', '75.95', '74.07', '73.17', '72.29', '72.29', '73.17', '74.07']"
2,HALV/1788,1.0,9.0,1.0,"['88.24', '89.55', '89.55', '89.55', '89.55', '88.24', '86.96', '85.71', '86.96', '86.96', '86.96', '85.71', '85.71', '85.71', '85.71', '86.96', '88.24', '86.96', '85.71', '83.33', '82.19', '82.19', '82.19', '83.33', '83.33', '84.51', '85.71', '86.96', '88.24', '88.24', '88.24', '88.24', '88.24', '88.24', '88.24', '88.24', '88.24', '88.24', '89.55', '89.55', '89.55', '89.55']"
3,HALV/1788,1.0,9.0,1.0,"['76.92', '76.92', '76.92', '77.92', '76.92', '76.92', '75.95', '75.95', '75.95', '75.95', '75.95', '75.95', '75.95', '75.95', '75.95', '75.95', '76.92', '76.92', '76.92', '76.92', '76.92', '76.92', '76.92', '76.92', '76.92', '76.92', '76.92', '76.92', '76.92', '76.92', '76.92', '76.92', '76.92', '77.92', '77.92', '77.92', '78.95', '78.95', '78.95', '78.95', '78.95', '80.00']"
4,HALV/1788,2.27,6.03,4.94,"['66.67', '68.18', '68.97', '70.59', '70.59', '70.59', '70.59', '70.59', '69.77', '68.18', '66.67', '65.22', '65.22', '65.22', '65.93', '65.93', '65.22', '64.52', '65.22', '65.93', '65.93', '66.67', '66.67', '68.18', '69.77', '69.77', '69.77', '69.77', '69.77', '69.77', '69.77', '70.59', '72.29', '72.29', '73.17', '73.17', '73.17', '72.29', '72.29', '71.43', '69.77', '69.77']"
5,HALV/1788,5.0,9.0,5.55,"['74.07', '74.07', '73.17', '73.17', '73.17', '73.17', '72.29', '72.29', '72.29', '72.29', '71.43', '71.43', '72.29', '72.29', '72.29', '72.29', '73.17', '73.17', '74.07', '74.07', '74.07', '75.00', '75.00', '74.07', '74.07', '74.07', '74.07', '75.00', '75.00', '75.00', '75.00', '75.00', '74.07', '74.07', '74.07', '74.07', '74.07', '75.00', '75.00', '75.00', '75.95', '75.95']"
6,HALV/1788,4.13,6.99,5.0,"['75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '75.95', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '74.07', '75.00', '74.07', '74.07', '74.07', '73.17', '73.17', '72.29', '73.17', '73.17', '73.17', '74.07', '74.07', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '75.95', '75.95', '75.95', '75.95', '75.95', '75.00', '74.07', '74.07', '75.00']"
7,HALV/1788,2.65,5.0,5.0,"['98.36', '98.36', '98.36', '96.77', '96.77', '93.75', '92.31', '92.31', '93.75', '93.75', '93.75', '93.75', '95.24', '95.24', '95.24', '95.24', '95.24', '95.24', '95.24', '95.24', '95.24', '95.24', '95.24', '96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '95.24', '95.24', '95.24']"
8,HALV/1788,1.0,7.95,5.0,"['62.50', '62.50', '62.50', '61.22', '60.61', '60.61', '60.61', '60.61', '60.61', '60.61', '60.61', '61.22', '61.22', '62.50', '62.50', '62.50', '61.86', '61.22', '61.22', '61.22', '61.22', '62.50', '62.50', '63.16', '63.16', '62.50', '62.50', '62.50', '61.86', '61.22', '61.22', '61.86', '61.86', '63.16', '63.16', '63.83', '63.83', '63.83', '63.16', '61.22', '60.61', '60.61']"
9,HALV/1788,5.0,2.92,5.0,"['86.96', '88.24', '86.96', '85.71', '85.71', '86.96', '86.96', '85.71', '85.71', '84.51', '83.33', '83.33', '84.51', '84.51', '84.51', '83.33', '82.19', '81.08', '81.08', '83.33', '84.51', '85.71', '86.96', '86.96', '86.96', '89.55', '90.91', '90.91', '90.91', '92.31', '93.75', '95.24', '93.75', '93.75', '95.24', '93.75', '90.91', '89.55', '89.55', '88.24', '86.96', '85.71']"
