,Songs,Valence,Arousal,Dominance,HRV
0,HALV/1993,2.98,5.71,4.39,"['72.29', '72.29', '76.92', '77.92', '76.92', '75.95', '75.00', '75.00', '75.00', '74.07', '74.07', '74.07', '74.07', '73.17', '73.17', '73.17', '73.17', '73.17', '73.17', '73.17', '73.17', '73.17', '74.07', '74.07', '73.17', '73.17', '72.29', '71.43', '71.43', '71.43', '71.43', '71.43', '71.43', '71.43', '81.08', '82.19', '82.19', '81.08', '81.08', '81.08', '81.08', '81.08', '82.19']"
1,HALV/1993,6.31,6.1,6.64,"['74.07', '74.07', '72.29', '72.29', '71.43', '71.43', '74.07', '74.07', '75.00', '74.07', '73.17', '72.29', '72.29', '71.43', '72.29', '73.17', '74.07', '74.07', '78.95', '80.00', '80.00', '80.00', '78.95', '77.92', '77.92', '77.92', '78.95', '80.00', '82.19', '84.51', '84.51', '85.71', '84.51', '83.33', '81.08', '81.08', '80.00', '80.00', '80.00', '80.00', '78.95', '78.95', '80.00']"
2,HALV/1993,2.37,7.99,3.09,"['96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '95.24', '95.24', '93.75', '93.75', '93.75', '95.24', '95.24', '95.24', '96.77', '96.77', '98.36', '96.77', '96.77', '96.77', '95.24', '93.75', '92.31', '92.31', '92.31', '93.75', '93.75', '95.24', '95.24', '95.24', '95.24', '95.24', '95.24', '95.24']"
3,HALV/1993,2.37,7.99,3.09,"['77.92', '76.92', '76.92', '76.92', '76.92', '76.92', '76.92', '76.92', '76.92', '77.92', '77.92', '77.92', '77.92', '77.92', '77.92', '77.92', '77.92', '77.92', '78.95', '77.92', '77.92', '77.92', '76.92', '76.92', '77.92', '77.92', '77.92', '77.92', '78.95', '77.92', '78.95', '78.95', '78.95', '78.95', '78.95', '78.95', '78.95', '77.92', '77.92', '77.92', '77.92', '77.92']"
4,HALV/1993,1.78,8.64,1.65,"['74.07', '75.00', '75.00', '74.07', '74.07', '73.17', '73.17', '73.17', '72.29', '71.43', '69.77', '68.97', '65.93', '65.93', '65.22', '63.16', '62.50', '62.50', '64.52', '65.22', '69.77', '69.77', '71.43', '72.29', '71.43', '70.59', '70.59', '70.59', '71.43', '72.29', '73.17', '74.07', '74.07', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00']"
5,HALV/1993,6.18,7.69,6.98,"['71.43', '71.43', '71.43', '70.59', '70.59', '69.77', '69.77', '68.97', '68.97', '68.97', '68.97', '69.77', '69.77', '70.59', '70.59', '70.59', '70.59', '71.43', '71.43', '71.43', '71.43', '70.59', '70.59', '70.59', '69.77', '69.77', '69.77', '69.77', '69.77', '70.59', '70.59', '70.59', '69.77', '69.77', '69.77', '69.77', '68.97', '68.97', '68.97', '68.97', '69.77', '69.77']"
6,HALV/1993,7.13,5.51,3.56,"['62.50', '62.50', '62.50', '64.52', '64.52', '65.93', '65.93', '65.93', '66.67', '66.67', '67.42', '67.42', '68.97', '69.77', '70.59', '70.59', '70.59', '69.77', '68.97', '68.18', '67.42', '68.18', '69.77', '73.17', '73.17', '74.07', '75.00', '75.00', '75.00', '74.07', '74.07', '74.07', '74.07', '74.07', '74.07', '73.17', '72.29', '72.29', '70.59', '69.77', '68.97', '68.18']"
7,HALV/1993,1.73,5.93,4.94,"['92.31', '92.31', '92.31', '92.31', '90.91', '89.55', '88.24', '86.96', '85.71', '85.71', '85.71', '86.96', '86.96', '86.96', '88.24', '88.24', '88.24', '88.24', '88.24', '88.24', '89.55', '89.55', '90.91', '90.91', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31']"
8,HALV/1993,1.99,3.67,5.0,"['60.00', '60.00', '60.61', '61.22', '61.22', '60.00', '58.82', '57.69', '57.69', '58.25', '59.41', '58.82', '57.69', '57.69', '58.82', '59.41', '58.82', '58.82', '59.41', '59.41', '59.41', '60.61', '61.22', '61.22', '61.22', '60.61', '60.61', '60.61', '60.61', '60.61', '59.41', '58.25', '58.25', '58.25', '59.41', '60.61', '60.61', '62.50', '64.52', '65.22', '64.52', '63.83', '62.50']"
9,HALV/1993,3.88,3.81,5.53,"['89.55', '89.55', '89.55', '89.55', '89.55', '90.91', '90.91', '89.55', '86.96', '85.71', '85.71', '85.71', '84.51', '84.51', '84.51', '85.71', '85.71', '85.71', '84.51', '84.51', '84.51', '83.33', '83.33', '83.33', '83.33', '83.33', '84.51', '83.33', '82.19', '81.08', '78.95', '78.95', '78.95', '82.19', '82.19', '81.08', '81.08', '80.00', '78.95', '77.92', '77.92', '78.95']"
10,HALV/1993,2.8,7.83,1.83,"['101.69', '101.69', '101.69', '101.69', '101.69', '101.69', '100.00', '100.00', '101.69', '101.69', '101.69', '101.69', '101.69', '103.45', '103.45', '103.45', '101.69', '101.69', '101.69', '103.45', '103.45', '103.45', '103.45', '103.45', '103.45', '103.45', '103.45', '103.45', '105.26', '105.26', '105.26', '105.26', '105.26', '105.26', '105.26', '105.26', '105.26', '105.26', '105.26', '105.26', '107.14', '107.14']"
11,HALV/1993,4.19,6.52,5.0,"['93.75', '92.31', '92.31', '92.31', '93.75', '95.24', '95.24', '96.77', '96.77', '95.24', '95.24', '95.24', '95.24', '95.24', '95.24', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '100.00', '100.00', '100.00', '101.69', '101.69', '101.69', '100.00', '100.00', '98.36', '100.00', '100.00', '100.00', '98.36', '96.77', '96.77', '96.77', '95.24', '96.77', '98.36', '100.00']"
12,HALV/1993,3.03,7.06,6.91,"['77.92', '77.92', '76.92', '76.92', '76.92', '76.92', '77.92', '77.92', '76.92', '76.92', '75.95', '75.95', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '75.95', '75.95', '75.95', '75.95', '75.95', '75.95', '76.92', '76.92', '76.92', '76.92', '77.92', '77.92', '77.92', '77.92', '77.92', '77.92', '77.92', '77.92', '77.92', '76.92', '76.92', '75.95']"
13,HALV/1993,3.75,2.14,3.23,"['85.71', '85.71', '86.96', '86.96', '86.96', '88.24', '88.24', '86.96', '88.24', '88.24', '88.24', '88.24', '88.24', '88.24', '88.24', '88.24', '88.24', '88.24', '88.24', '88.24', '88.24', '88.24', '88.24', '88.24', '88.24', '89.55', '89.55', '88.24', '86.96', '86.96', '85.71', '84.51', '84.51', '84.51', '83.33', '83.33', '83.33', '83.33', '82.19', '82.19', '81.08', '80.00', '80.00']"
14,HALV/1993,3.15,8.02,3.78,"['68.18', '68.18', '68.18', '68.18', '68.18', '67.42', '67.42', '67.42', '66.67', '66.67', '65.93', '65.93', '65.93', '65.93', '65.93', '65.22', '65.22', '64.52', '64.52', '63.83', '64.52', '65.22', '65.93', '66.67', '68.18', '68.97', '68.97', '68.18', '68.18', '68.18', '68.18', '68.97', '69.77', '70.59', '71.43', '70.59', '70.59', '69.77', '68.97', '69.77', '70.59', '72.29']"
15,HALV/1993,6.03,3.72,5.0,"['73.17', '72.29', '72.29', '72.29', '72.29', '72.29', '72.29', '72.29', '73.17', '73.17', '73.17', '73.17', '73.17', '73.17', '74.07', '74.07', '74.07', '74.07', '74.07', '75.00', '75.00', '75.00', '75.00', '74.07', '74.07', '74.07', '73.17', '73.17', '74.07', '74.07', '74.07', '75.00', '75.00', '75.00', '75.00', '75.00', '74.07', '74.07', '74.07', '74.07', '74.07', '74.07', '73.17']"
