,Songs,Valence,Arousal,Dominance,HRV
0,HAHV/343,5.92,6.67,7.65,"['70.59', '74.07', '75.95', '75.95', '75.00', '74.07', '73.17', '72.29', '71.43', '71.43', '72.29', '72.29', '70.59', '70.59', '70.59', '70.59', '70.59', '70.59', '70.59', '70.59', '70.59', '70.59', '69.77', '68.97', '68.97', '68.97', '68.18', '68.97', '68.97', '68.97', '69.77', '69.77', '69.77', '69.77', '70.59', '70.59', '72.29', '72.29', '70.59', '69.77', '70.59', '70.59', '71.43']"
1,HAHV/343,5.79,5.82,4.6,"['69.77', '68.97', '68.97', '68.18', '68.18', '68.18', '68.97', '68.97', '68.97', '68.97', '68.97', '68.97', '68.18', '67.42', '66.67', '67.42', '67.42', '68.18', '68.18', '67.42', '67.42', '67.42', '75.95', '76.92', '77.92', '78.95', '78.95', '78.95', '78.95', '77.92', '77.92', '77.92', '77.92', '77.92', '76.92', '76.92', '75.00', '74.07', '74.07', '71.43', '69.77', '67.42']"
2,HAHV/343,9.0,7.95,6.69,"['100.00', '100.00', '101.69', '101.69', '101.69', '101.69', '101.69', '101.69', '100.00', '100.00', '100.00', '100.00', '100.00', '100.00', '100.00', '100.00', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '95.24', '95.24', '95.24', '95.24', '93.75', '93.75', '93.75', '92.31']"
3,HAHV/343,9.0,7.95,6.69,"['77.92', '77.92', '77.92', '77.92', '78.95', '78.95', '80.00', '80.00', '80.00', '80.00', '80.00', '80.00', '80.00', '81.08', '81.08', '81.08', '81.08', '81.08', '80.00', '80.00', '78.95', '78.95', '78.95', '78.95', '78.95', '78.95', '78.95', '78.95', '77.92', '77.92', '76.92', '76.92', '76.92', '76.92', '76.92', '77.92', '77.92', '77.92', '76.92', '77.92', '77.92', '77.92']"
4,HAHV/343,7.56,6.94,5.94,"['68.97', '69.77', '69.77', '69.77', '68.97', '66.67', '65.93', '65.22', '65.22', '65.22', '65.93', '65.93', '66.67', '68.18', '68.97', '70.59', '70.59', '70.59', '71.43', '71.43', '71.43', '70.59', '69.77', '68.97', '68.97', '69.77', '69.77', '69.77', '66.67', '66.67', '65.93', '62.50', '62.50', '61.22', '61.86', '63.83', '65.22', '65.93', '68.18', '69.77', '69.77', '69.77']"
5,HAHV/343,7.36,7.26,5.96,"['74.07', '74.07', '74.07', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '75.95', '75.95', '75.95', '76.92', '76.92', '75.95', '75.95', '75.95', '75.95', '75.95', '75.95', '75.95', '75.95', '76.92', '76.92', '76.92', '76.92', '76.92', '76.92', '76.92', '76.92', '76.92', '75.95', '75.95', '75.95', '75.95', '75.00', '75.95', '75.95', '76.92', '75.95', '75.95']"
6,HAHV/343,6.61,6.99,6.55,"['69.77', '68.18', '67.42', '65.22', '64.52', '63.83', '64.52', '64.52', '65.22', '65.93', '65.93', '65.93', '65.93', '65.93', '66.67', '66.67', '68.18', '68.18', '68.97', '68.97', '70.59', '71.43', '71.43', '71.43', '71.43', '71.43', '71.43', '71.43', '71.43', '72.29', '72.29', '73.17', '73.17', '74.07', '74.07', '74.07', '74.07', '74.07', '73.17', '73.17', '73.17', '74.07', '74.07']"
7,HAHV/343,5.94,6.01,5.0,"['96.77', '96.77', '96.77', '96.77', '95.24', '95.24', '95.24', '95.24', '95.24', '95.24', '95.24', '96.77', '96.77', '96.77', '96.77', '95.24', '95.24', '95.24', '93.75', '93.75', '93.75', '93.75', '95.24', '95.24', '95.24', '95.24', '95.24', '95.24', '95.24', '95.24', '93.75', '93.75', '93.75', '93.75', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31']"
8,HAHV/343,6.36,6.79,5.0,"['63.16', '63.16', '63.16', '62.50', '61.22', '60.61', '60.61', '60.61', '61.22', '61.22', '61.22', '61.22', '61.22', '60.61', '60.61', '60.61', '60.61', '60.00', '60.00', '60.61', '61.86', '62.50', '63.16', '63.16', '63.83', '63.83', '63.83', '63.16', '62.50', '63.16', '63.16', '63.16', '63.83', '64.52', '65.22', '65.22', '65.22', '65.22', '64.52', '63.83', '63.16', '63.83']"
9,HAHV/343,5.75,4.51,6.03,"['88.24', '88.24', '86.96', '85.71', '85.71', '85.71', '84.51', '83.33', '82.19', '81.08', '78.95', '78.95', '80.00', '81.08', '81.08', '82.19', '82.19', '82.19', '82.19', '82.19', '82.19', '82.19', '83.33', '83.33', '82.19', '82.19', '82.19', '81.08', '81.08', '81.08', '80.00', '80.00', '80.00', '78.95', '77.92', '78.95', '78.95', '80.00', '78.95', '78.95', '78.95', '77.92', '77.92']"
10,HAHV/343,9.0,7.67,8.04,"['96.77', '98.36', '98.36', '100.00', '98.36', '98.36', '98.36', '98.36', '98.36', '100.00', '100.00', '100.00', '101.69', '103.45', '103.45', '103.45', '103.45', '105.26', '105.26', '107.14', '107.14', '109.09', '109.09', '109.09', '109.09', '109.09', '109.09', '109.09', '109.09', '109.09', '109.09', '109.09', '107.14', '107.14', '107.14', '107.14', '107.14', '107.14', '107.14', '109.09', '109.09', '109.09']"
11,HAHV/343,5.0,5.94,5.0,"['93.75', '92.31', '93.75', '93.75', '95.24', '95.24', '95.24', '95.24', '95.24', '95.24', '96.77', '96.77', '96.77', '95.24', '95.24', '96.77', '96.77', '98.36', '98.36', '100.00', '98.36', '98.36', '96.77', '95.24', '95.24', '95.24', '96.77', '98.36', '100.00', '100.00', '100.00', '101.69', '101.69', '101.69', '101.69', '101.69', '100.00', '100.00', '100.00', '101.69', '101.69', '101.69', '101.69']"
12,HAHV/343,6.55,6.53,5.0,"['75.00', '76.92', '77.92', '77.92', '78.95', '78.95', '77.92', '77.92', '76.92', '75.95', '75.95', '75.95', '75.00', '75.00', '74.07', '73.17', '71.43', '70.59', '70.59', '70.59', '70.59', '72.29', '72.29', '73.17', '73.17', '75.00', '75.95', '75.95', '75.95', '75.95', '75.95', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '75.95', '76.92', '76.92']"
13,HAHV/343,5.0,4.21,5.0,"['84.51', '84.51', '83.33', '83.33', '83.33', '83.33', '83.33', '83.33', '83.33', '83.33', '83.33', '83.33', '83.33', '83.33', '83.33', '83.33', '83.33', '83.33', '82.19', '82.19', '81.08', '78.95', '78.95', '77.92', '77.92', '77.92', '76.92', '76.92', '76.92', '76.92', '75.00', '74.07', '73.17', '73.17', '73.17', '74.07', '74.07', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00']"
