,Songs,Valence,Arousal,Dominance,HRV
0,HAHV/292,1.69,6.37,4.04,"['75.00', '75.00', '75.95', '75.95', '75.95', '75.00', '74.07', '74.07', '74.07', '75.00', '75.00', '74.07', '74.07', '73.17', '73.17', '73.17', '72.29', '71.43', '71.43', '71.43', '71.43', '71.43', '71.43', '70.59', '70.59', '70.59', '68.18', '67.42', '65.93', '65.93', '69.77', '75.95', '81.08', '83.33', '83.33', '80.00', '80.00', '77.92', '76.92', '75.95', '75.95', '78.95']"
1,HAHV/292,6.09,6.63,5.0,"['74.07', '74.07', '74.07', '75.00', '75.00', '75.95', '76.92', '76.92', '75.95', '75.00', '74.07', '74.07', '75.00', '75.95', '76.92', '77.92', '78.95', '78.95', '77.92', '77.92', '77.92', '78.95', '80.00', '80.00', '81.08', '81.08', '82.19', '81.08', '81.08', '80.00', '80.00', '80.00', '81.08', '81.08', '81.08', '81.08', '80.00', '78.95', '76.92', '75.95', '75.95', '75.95']"
2,HAHV/292,6.43,6.19,5.0,"['96.77', '98.36', '98.36', '98.36', '98.36', '100.00', '100.00', '100.00', '100.00', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '98.36', '98.36', '98.36', '98.36', '100.00', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '96.77', '96.77', '96.77']"
3,HAHV/292,6.43,6.19,5.0,"['77.92', '76.92', '76.92', '76.92', '76.92', '77.92', '77.92', '77.92', '77.92', '78.95', '78.95', '78.95', '78.95', '78.95', '78.95', '80.00', '80.00', '80.00', '80.00', '80.00', '80.00', '80.00', '80.00', '80.00', '80.00', '80.00', '80.00', '81.08', '81.08', '81.08', '81.08', '81.08', '81.08', '81.08', '81.08', '81.08', '81.08', '81.08', '81.08', '81.08', '81.08', '81.08', '81.08']"
4,HAHV/292,5.97,6.88,6.03,"['77.92', '77.92', '77.92', '77.92', '77.92', '77.92', '77.92', '77.92', '77.92', '76.92', '76.92', '75.95', '75.95', '75.00', '75.00', '75.00', '74.07', '73.17', '71.43', '68.97', '68.97', '68.18', '68.97', '69.77', '69.77', '69.77', '68.97', '69.77', '69.77', '69.77', '69.77', '70.59', '73.17', '73.17', '75.00', '76.92', '76.92', '76.92', '77.92', '77.92', '77.92', '77.92']"
5,HAHV/292,7.9,6.67,7.9,"['73.17', '72.29', '72.29', '72.29', '73.17', '73.17', '74.07', '75.00', '75.00', '75.95', '75.95', '75.95', '75.00', '75.00', '74.07', '74.07', '74.07', '74.07', '74.07', '75.00', '75.00', '75.00', '75.00', '74.07', '74.07', '74.07', '73.17', '73.17', '73.17', '73.17', '73.17', '73.17', '72.29', '71.43', '71.43', '71.43', '71.43', '72.29', '72.29', '73.17', '74.07', '74.07']"
6,HAHV/292,4.56,6.0,5.61,"['69.77', '70.59', '71.43', '71.43', '72.29', '72.29', '71.43', '71.43', '71.43', '71.43', '71.43', '71.43', '70.59', '70.59', '70.59', '70.59', '70.59', '69.77', '68.97', '68.97', '68.97', '69.77', '69.77', '70.59', '71.43', '71.43', '71.43', '71.43', '71.43', '72.29', '72.29', '72.29', '72.29', '72.29', '72.29', '71.43', '71.43', '71.43', '71.43', '71.43', '71.43', '71.43']"
7,HAHV/292,7.04,6.93,5.0,"['93.75', '93.75', '93.75', '93.75', '93.75', '93.75', '93.75', '93.75', '93.75', '93.75', '93.75', '93.75', '93.75', '93.75', '93.75', '93.75', '93.75', '93.75', '93.75', '93.75', '93.75', '93.75', '93.75', '93.75', '93.75', '93.75', '93.75', '93.75', '93.75', '93.75', '93.75', '92.31', '92.31', '92.31', '90.91', '90.91', '90.91', '90.91', '90.91', '90.91', '90.91', '90.91', '90.91']"
8,HAHV/292,6.85,8.25,6.87,"['63.83', '63.83', '63.83', '63.16', '62.50', '62.50', '61.86', '60.61', '60.61', '60.61', '60.61', '60.61', '61.22', '60.00', '58.25', '56.07', '54.55', '54.05', '54.05', '55.05', '54.55', '55.05', '55.56', '56.07', '56.07', '56.60', '56.60', '56.60', '57.14', '58.82', '60.00', '63.16', '63.83', '65.22', '65.22', '65.22', '65.93', '66.67', '66.67', '66.67', '66.67', '66.67', '66.67']"
9,HAHV/292,6.97,5.94,6.89,"['92.31', '92.31', '92.31', '93.75', '93.75', '93.75', '90.91', '88.24', '85.71', '84.51', '84.51', '85.71', '85.71', '84.51', '82.19', '81.08', '81.08', '82.19', '82.19', '81.08', '78.95', '75.00', '74.07', '74.07', '71.43', '71.43', '73.17', '73.17', '72.29', '71.43', '70.59', '70.59', '69.77', '72.29', '74.07', '74.07', '73.17', '73.17', '74.07', '74.07', '74.07', '74.07']"
10,HAHV/292,9.0,8.53,8.79,"['105.26', '105.26', '105.26', '105.26', '107.14', '107.14', '107.14', '107.14', '107.14', '107.14', '105.26', '105.26', '105.26', '105.26', '107.14', '107.14', '107.14', '107.14', '107.14', '107.14', '107.14', '107.14', '107.14', '107.14', '107.14', '107.14', '107.14', '107.14', '107.14', '105.26', '105.26', '105.26', '105.26', '105.26', '105.26', '105.26', '103.45', '103.45', '101.69', '101.69', '101.69', '101.69']"
11,HAHV/292,7.32,6.25,6.25,"['85.71', '86.96', '86.96', '88.24', '89.55', '89.55', '88.24', '88.24', '86.96', '88.24', '89.55', '90.91', '92.31', '92.31', '92.31', '90.91', '90.91', '90.91', '90.91', '92.31', '95.24', '95.24', '95.24', '95.24', '95.24', '93.75', '93.75', '93.75', '95.24', '96.77', '98.36', '98.36', '98.36', '98.36', '95.24', '93.75', '92.31', '93.75', '95.24', '95.24', '96.77', '96.77']"
12,HAHV/292,2.1,1.0,2.94,"['80.00', '80.00', '78.95', '78.95', '78.95', '77.92', '77.92', '76.92', '75.95', '75.95', '75.95', '75.95', '75.95', '75.95', '75.00', '75.00', '75.00', '74.07', '74.07', '75.00', '75.00', '74.07', '74.07', '74.07', '74.07', '75.00', '75.00', '74.07', '74.07', '74.07', '74.07', '74.07', '74.07', '74.07', '74.07', '73.17', '72.29', '72.29', '71.43', '71.43', '69.77', '68.97']"
13,HAHV/292,7.09,6.65,5.84,"['78.95', '78.95', '78.95', '78.95', '77.92', '77.92', '78.95', '78.95', '78.95', '80.00', '80.00', '80.00', '78.95', '74.07', '74.07', '75.00', '77.92', '77.92', '77.92', '77.92', '77.92', '77.92', '78.95', '78.95', '78.95', '80.00', '78.95', '78.95', '78.95', '80.00', '78.95', '80.00', '80.00', '81.08', '80.00', '80.00', '80.00', '80.00', '80.00', '80.00', '80.00', '80.00', '80.00']"
14,HAHV/292,9.0,7.89,7.85,"['70.59', '72.29', '72.29', '72.29', '72.29', '70.59', '69.77', '68.97', '69.77', '74.07', '78.95', '80.00', '80.00', '82.19', '82.19', '82.19', '81.08', '80.00', '78.95', '77.92', '77.92', '77.92', '77.92', '76.92', '75.95', '75.95', '75.95', '75.00', '75.00', '75.00', '74.07', '74.07', '75.00', '75.00', '75.95', '76.92', '76.92', '76.92', '76.92', '75.95', '75.95', '75.95']"
15,HAHV/292,6.56,7.1,6.86,"['75.95', '75.95', '75.95', '75.95', '75.95', '75.95', '76.92', '76.92', '76.92', '76.92', '75.95', '75.95', '75.00', '75.00', '75.00', '75.95', '75.95', '75.95', '75.95', '75.95', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '75.95', '75.95', '75.95', '75.95', '75.95', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '75.95', '76.92', '76.92', '76.92', '76.92']"
16,HAHV/292,9.0,9.0,9.0,"['75.00', '75.00', '77.92', '78.95', '78.95', '78.95', '78.95', '75.95', '75.95', '75.00', '75.00', '75.95', '77.92', '78.95', '78.95', '78.95', '78.95', '78.95', '80.00', '80.00', '80.00', '80.00', '80.00', '80.00', '78.95', '78.95', '78.95', '78.95', '78.95', '77.92', '76.92', '76.92', '76.92', '76.92', '77.92', '77.92', '78.95', '77.92', '77.92', '77.92', '77.92', '76.92', '76.92']"
17,HAHV/292,6.81,4.0,6.66,"['90.91', '90.91', '90.91', '90.91', '90.91', '90.91', '89.55', '89.55', '89.55', '90.91', '89.55', '86.96', '86.96', '86.96', '84.51', '84.51', '83.33', '82.19', '82.19', '82.19', '83.33', '83.33', '83.33', '83.33', '83.33', '83.33', '84.51', '84.51', '85.71', '86.96', '88.24', '88.24', '89.55', '89.55', '89.55', '89.55', '89.55', '90.91', '88.24', '88.24', '88.24', '88.24']"
18,HAHV/292,7.69,7.9,7.19,"['68.97', '68.18', '68.97', '68.97', '69.77', '70.59', '71.43', '71.43', '71.43', '71.43', '70.59', '69.77', '69.77', '69.77', '71.43', '71.43', '71.43', '72.29', '72.29', '71.43', '70.59', '70.59', '69.77', '69.77', '70.59', '70.59', '71.43', '70.59', '70.59', '69.77', '69.77', '70.59', '70.59', '70.59', '69.77', '68.97', '69.77', '69.77', '68.97', '68.97', '68.97', '68.18']"
