,Songs,Valence,Arousal,Dominance,HRV
0,LAHV/1402,8.52,1.96,8.29,"['75.95', '75.00', '74.07', '74.07', '75.95', '75.95', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '74.07', '73.17', '71.43', '71.43', '71.43', '71.43', '72.29', '73.17', '73.17', '72.29', '71.43', '70.59', '70.59', '69.77', '68.97', '68.97', '68.97', '68.97', '68.97', '69.77', '75.00', '75.95', '75.00', '74.07', '74.07', '73.17', '72.29', '71.43', '69.77']"
1,LAHV/1402,4.16,3.69,5.0,"['75.00', '75.00', '75.95', '75.95', '75.95', '75.95', '75.95', '75.00', '75.95', '75.95', '76.92', '76.92', '76.92', '75.95', '75.00', '75.00', '74.07', '73.17', '73.17', '73.17', '74.07', '74.07', '74.07', '74.07', '73.17', '73.17', '73.17', '73.17', '75.00', '75.00', '75.95', '75.95', '75.00', '75.00', '74.07', '74.07', '72.29', '72.29', '71.43', '71.43', '71.43', '72.29']"
2,LAHV/1402,7.7,3.21,6.01,"['100.00', '100.00', '100.00', '100.00', '100.00', '100.00', '100.00', '100.00', '98.36', '96.77', '95.24', '93.75', '93.75', '93.75', '93.75', '93.75', '93.75', '93.75', '92.31', '92.31', '93.75', '93.75', '93.75', '93.75', '95.24', '95.24', '96.77', '96.77', '96.77', '98.36', '98.36', '96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '96.77']"
3,LAHV/1402,7.7,3.21,6.01,"['76.92', '76.92', '76.92', '77.92', '78.95', '78.95', '78.95', '78.95', '80.00', '80.00', '80.00', '80.00', '80.00', '80.00', '80.00', '80.00', '80.00', '80.00', '80.00', '80.00', '80.00', '77.92', '76.92', '75.95', '75.00', '74.07', '73.17', '72.29', '72.29', '71.43', '69.77', '70.59', '71.43', '72.29', '72.29', '73.17', '73.17', '75.00', '75.95', '75.95', '76.92', '76.92', '77.92']"
4,LAHV/1402,7.06,5.0,5.91,"['66.67', '67.42', '68.97', '68.97', '68.97', '68.18', '67.42', '64.52', '64.52', '61.86', '60.00', '60.00', '59.41', '60.00', '61.86', '64.52', '64.52', '64.52', '64.52', '63.83', '61.86', '60.00', '59.41', '57.69', '57.69', '57.69', '58.25', '58.25', '58.82', '58.82', '59.41', '59.41', '60.00', '60.00', '59.41', '58.82', '58.82', '58.82', '60.61', '61.22', '61.22', '61.22']"
5,LAHV/1402,6.0,2.76,5.0,"['68.97', '69.77', '69.77', '69.77', '69.77', '69.77', '69.77', '69.77', '69.77', '69.77', '69.77', '69.77', '69.77', '69.77', '68.97', '69.77', '69.77', '69.77', '68.97', '68.97', '68.97', '69.77', '70.59', '70.59', '72.29', '74.07', '74.07', '75.00', '75.95', '75.95', '76.92', '75.95', '75.95', '76.92', '76.92', '75.95', '75.95', '75.00', '74.07', '73.17', '72.29', '71.43']"
6,LAHV/1402,5.0,1.69,6.4,"['60.61', '60.00', '59.41', '60.00', '63.16', '67.42', '74.07', '75.95', '76.92', '77.92', '77.92', '76.92', '75.95', '73.17', '72.29', '71.43', '71.43', '71.43', '70.59', '70.59', '70.59', '70.59', '70.59', '70.59', '71.43', '71.43', '72.29', '72.29', '72.29', '71.43', '71.43', '71.43', '71.43', '72.29', '73.17', '74.07', '74.07', '74.07', '74.07', '75.00', '74.07', '75.00', '75.00']"
7,LAHV/1402,7.08,3.06,5.0,"['89.55', '90.91', '90.91', '90.91', '90.91', '90.91', '90.91', '90.91', '90.91', '90.91', '89.55', '89.55', '89.55', '88.24', '88.24', '88.24', '88.24', '88.24', '88.24', '88.24', '88.24', '88.24', '88.24', '88.24', '88.24', '88.24', '89.55', '89.55', '89.55', '89.55', '89.55', '90.91', '90.91', '90.91', '89.55', '89.55', '89.55', '89.55', '89.55', '89.55', '89.55', '89.55']"
8,LAHV/1402,8.51,1.44,5.72,"['61.86', '61.86', '60.61', '60.61', '61.22', '61.22', '61.22', '60.61', '61.22', '61.22', '61.22', '61.22', '61.86', '62.50', '62.50', '62.50', '61.86', '61.22', '60.61', '59.41', '58.25', '57.14', '56.07', '56.07', '55.56', '56.60', '56.60', '57.14', '56.60', '56.60', '56.60', '57.14', '57.14', '57.69', '58.82', '62.50', '63.83', '65.22', '65.22', '65.93', '64.52', '63.83']"
9,LAHV/1402,4.38,3.87,6.11,"['96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '95.24', '93.75', '92.31', '93.75', '93.75', '95.24', '95.24', '93.75', '92.31', '92.31', '92.31', '93.75', '92.31', '93.75', '93.75', '93.75', '95.24', '95.24', '95.24', '95.24', '96.77', '95.24', '95.24', '95.24', '95.24', '95.24', '95.24', '95.24', '93.75', '92.31', '89.55', '89.55', '89.55', '89.55', '90.91']"
10,LAHV/1402,7.78,2.99,4.1,"['103.45', '105.26', '105.26', '105.26', '107.14', '107.14', '107.14', '107.14', '107.14', '109.09', '109.09', '109.09', '109.09', '107.14', '107.14', '107.14', '107.14', '107.14', '107.14', '107.14', '107.14', '107.14', '107.14', '105.26', '103.45', '103.45', '103.45', '101.69', '101.69', '101.69', '103.45', '103.45', '103.45', '103.45', '103.45', '103.45', '103.45', '103.45', '103.45', '103.45', '103.45', '103.45']"
11,LAHV/1402,4.16,2.94,6.06,"['92.31', '92.31', '90.91', '90.91', '90.91', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '93.75', '93.75', '95.24', '95.24', '95.24', '95.24', '95.24', '96.77', '96.77', '96.77', '98.36', '96.77', '95.24', '95.24', '95.24', '96.77', '96.77', '96.77', '96.77', '95.24', '95.24', '95.24', '96.77', '96.77', '96.77', '98.36', '96.77', '96.77', '98.36', '98.36', '98.36', '96.77']"
12,LAHV/1402,3.06,2.9,5.0,"['75.95', '75.95', '76.92', '76.92', '75.95', '75.95', '75.95', '75.95', '75.95', '75.95', '75.95', '76.92', '76.92', '76.92', '76.92', '76.92', '75.95', '75.95', '75.00', '75.00', '75.00', '75.95', '75.95', '76.92', '76.92', '76.92', '76.92', '76.92', '75.95', '75.95', '75.95', '75.95', '75.95', '76.92', '76.92', '75.95', '75.95', '75.95', '75.95', '75.95', '75.95', '75.00']"
13,LAHV/1402,4.23,2.98,5.0,"['76.92', '80.00', '80.00', '81.08', '81.08', '80.00', '80.00', '80.00', '78.95', '78.95', '80.00', '80.00', '80.00', '80.00', '80.00', '78.95', '78.95', '80.00', '80.00', '78.95', '78.95', '78.95', '77.92', '76.92', '76.92', '76.92', '76.92', '76.92', '76.92', '76.92', '76.92', '77.92', '77.92', '77.92', '77.92', '76.92', '76.92', '76.92', '77.92', '77.92', '77.92', '78.95']"
14,LAHV/1402,7.93,3.91,5.0,"['76.92', '76.92', '76.92', '75.95', '75.95', '75.00', '74.07', '74.07', '74.07', '74.07', '74.07', '74.07', '73.17', '73.17', '71.43', '71.43', '71.43', '70.59', '71.43', '71.43', '71.43', '70.59', '70.59', '69.77', '69.77', '69.77', '69.77', '69.77', '70.59', '70.59', '70.59', '70.59', '70.59', '70.59', '70.59', '70.59', '72.29', '72.29', '72.29', '72.29', '71.43', '71.43']"
15,LAHV/1402,3.83,1.34,5.0,"['76.92', '76.92', '76.92', '75.95', '75.95', '75.95', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '74.07', '74.07', '73.17', '73.17', '72.29', '72.29', '72.29', '72.29', '73.17', '73.17', '73.17', '74.07', '74.07', '74.07', '75.00']"
16,LAHV/1402,9.0,6.72,9.0,"['77.92', '77.92', '77.92', '77.92', '77.92', '77.92', '77.92', '78.95', '77.92', '76.92', '75.95', '74.07', '72.29', '72.29', '73.17', '74.07', '73.17', '72.29', '71.43', '71.43', '72.29', '73.17', '75.00', '75.00', '75.00', '74.07', '73.17', '73.17', '73.17', '74.07', '75.00', '75.95', '75.95', '75.95', '75.95', '75.95', '75.95', '76.92', '76.92', '76.92', '76.92', '76.92', '76.92']"
