,Songs,Valence,Arousal,Dominance,HRV
0,LALV/197,7.59,1.0,3.62,"['76.92', '76.92', '76.92', '76.92', '81.08', '81.08', '80.00', '78.95', '77.92', '75.95', '75.95', '75.95', '78.95', '78.95', '78.95', '76.92', '76.92', '75.95', '75.95', '75.00', '75.95', '76.92', '75.95', '75.95', '75.00', '74.07', '73.17', '73.17', '74.07', '74.07', '75.00', '75.00', '74.07', '74.07', '73.17', '72.29', '72.29', '71.43', '71.43', '72.29', '72.29', '72.29']"
1,LALV/197,6.56,2.82,5.0,"['71.43', '71.43', '71.43', '71.43', '71.43', '71.43', '71.43', '71.43', '73.17', '73.17', '74.07', '74.07', '74.07', '73.17', '73.17', '71.43', '71.43', '72.29', '73.17', '74.07', '76.92', '76.92', '76.92', '75.00', '74.07', '74.07', '74.07', '74.07', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '74.07', '74.07', '74.07', '74.07', '74.07', '75.00', '75.00', '75.00']"
2,LALV/197,2.1,5.0,1.0,"['96.77', '96.77', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '96.77', '96.77', '96.77', '96.77', '98.36', '98.36', '96.77', '96.77', '96.77', '96.77', '98.36', '98.36', '98.36', '100.00', '98.36', '98.36', '96.77', '96.77', '95.24', '95.24', '95.24', '96.77', '96.77', '96.77', '96.77', '98.36', '98.36', '98.36']"
3,LALV/197,2.1,5.0,1.0,"['81.08', '81.08', '81.08', '81.08', '81.08', '81.08', '80.00', '80.00', '78.95', '78.95', '80.00', '80.00', '80.00', '80.00', '80.00', '80.00', '78.95', '78.95', '78.95', '80.00', '80.00', '80.00', '80.00', '80.00', '80.00', '80.00', '80.00', '81.08', '81.08', '81.08', '81.08', '81.08', '81.08', '81.08', '81.08', '81.08', '80.00', '80.00', '81.08', '81.08', '80.00', '80.00']"
4,LALV/197,1.0,2.49,3.02,"['71.43', '71.43', '71.43', '71.43', '71.43', '72.29', '73.17', '73.17', '73.17', '73.17', '72.29', '69.77', '68.97', '66.67', '66.67', '67.42', '68.18', '68.18', '68.18', '67.42', '65.93', '65.22', '63.83', '61.22', '60.00', '59.41', '59.41', '60.00', '61.22', '64.52', '64.52', '65.93', '66.67', '67.42', '68.18', '68.18', '68.18', '67.42', '67.42', '67.42', '66.67', '65.93', '61.86']"
5,LALV/197,1.31,1.29,1.14,"['71.43', '71.43', '70.59', '69.77', '69.77', '68.97', '69.77', '69.77', '69.77', '69.77', '69.77', '69.77', '69.77', '69.77', '69.77', '69.77', '69.77', '70.59', '70.59', '70.59', '70.59', '70.59', '69.77', '69.77', '70.59', '70.59', '70.59', '71.43', '71.43', '72.29', '72.29', '71.43', '70.59', '70.59', '69.77', '69.77', '70.59', '71.43', '71.43', '72.29', '72.29', '72.29']"
6,LALV/197,6.75,3.14,3.96,"['67.42', '67.42', '67.42', '67.42', '67.42', '67.42', '68.18', '68.97', '69.77', '69.77', '69.77', '68.97', '68.18', '68.18', '68.97', '68.97', '69.77', '68.97', '68.97', '68.97', '68.97', '68.97', '68.97', '68.97', '68.18', '66.67', '65.93', '65.93', '65.22', '65.22', '67.42', '67.42', '67.42', '66.67', '65.22', '64.52', '63.16', '61.86', '61.22', '60.00', '59.41', '60.00']"
7,LALV/197,2.66,2.54,3.68,"['98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '100.00', '100.00', '100.00', '100.00', '100.00', '100.00', '100.00', '100.00', '100.00', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36']"
8,LALV/197,5.81,1.0,5.0,"['59.41', '58.82', '58.82', '58.82', '60.00', '60.00', '60.00', '60.00', '60.61', '60.61', '60.61', '60.61', '60.61', '61.22', '61.22', '61.22', '61.86', '60.00', '58.82', '57.69', '58.25', '58.82', '59.41', '59.41', '60.00', '60.00', '58.82', '57.69', '57.14', '57.14', '56.07', '55.56', '56.07', '56.60', '57.69', '57.14', '57.14', '57.14', '57.69', '58.25', '59.41', '60.61']"
9,LALV/197,3.98,2.47,5.54,"['85.71', '85.71', '88.24', '93.75', '93.75', '93.75', '92.31', '90.91', '88.24', '86.96', '84.51', '83.33', '83.33', '84.51', '86.96', '88.24', '88.24', '86.96', '86.96', '88.24', '88.24', '88.24', '89.55', '89.55', '89.55', '89.55', '90.91', '90.91', '90.91', '90.91', '90.91', '90.91', '90.91', '90.91', '90.91', '90.91', '90.91', '90.91', '90.91', '90.91', '89.55', '89.55']"
