,Songs,Valence,Arousal,Dominance,HRV
0,HALV/1054,4.36,4.3,4.27,"['78.95', '78.95', '78.95', '78.95', '75.00', '73.17', '72.29', '74.07', '80.00', '81.08', '82.19', '81.08', '80.00', '77.92', '76.92', '76.92', '76.92', '76.92', '76.92', '75.95', '74.07', '73.17', '71.43', '70.59', '70.59', '69.77', '68.97', '67.42', '67.42', '66.67', '67.42', '67.42', '67.42', '66.67', '65.22', '64.52', '64.52', '63.83', '63.83', '63.83', '64.52', '64.52']"
1,HALV/1054,3.67,3.81,5.0,"['73.17', '74.07', '73.17', '73.17', '73.17', '74.07', '74.07', '74.07', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '75.95', '75.95', '75.95', '75.95', '75.95', '75.95', '75.00', '75.00', '75.00', '75.00', '75.95', '76.92', '76.92', '76.92', '76.92', '75.95', '75.95', '75.95', '76.92', '75.95', '75.95', '74.07', '73.17', '71.43', '71.43']"
2,HALV/1054,3.6,7.34,5.0,"['90.91', '90.91', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '93.75', '93.75', '93.75', '93.75', '93.75', '93.75', '93.75', '93.75', '93.75', '93.75', '93.75', '93.75', '93.75', '93.75', '93.75', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '90.91', '90.91', '90.91', '89.55', '88.24', '88.24', '88.24']"
3,HALV/1054,3.6,7.34,5.0,"['82.19', '81.08', '80.00', '80.00', '80.00', '81.08', '81.08', '82.19', '82.19', '83.33', '83.33', '83.33', '83.33', '83.33', '83.33', '83.33', '82.19', '82.19', '82.19', '81.08', '82.19', '82.19', '82.19', '82.19', '82.19', '81.08', '81.08', '81.08', '81.08', '81.08', '81.08', '81.08', '81.08', '81.08', '80.00', '80.00', '78.95', '78.95', '80.00', '80.00', '80.00', '80.00']"
4,HALV/1054,3.94,6.83,3.2,"['70.59', '71.43', '72.29', '74.07', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '74.07', '73.17', '72.29', '72.29', '71.43', '71.43', '72.29', '72.29', '72.29', '72.29', '71.43', '70.59', '69.77', '70.59', '70.59', '72.29', '72.29', '73.17', '74.07', '74.07', '74.07', '72.29', '71.43', '70.59', '70.59', '70.59', '72.29', '72.29', '73.17', '73.17', '73.17', '73.17']"
5,HALV/1054,8.11,7.97,8.44,"['75.00', '75.00', '75.95', '75.95', '76.92', '77.92', '77.92', '77.92', '77.92', '78.95', '77.92', '78.95', '77.92', '77.92', '76.92', '75.95', '75.95', '75.95', '75.95', '75.95', '75.00', '75.00', '75.00', '75.00', '75.00', '74.07', '74.07', '74.07', '74.07', '74.07', '73.17', '73.17', '72.29', '71.43', '70.59', '70.59', '70.59', '70.59', '70.59', '70.59', '71.43', '71.43', '71.43']"
6,HALV/1054,6.82,6.31,5.0,"['71.43', '71.43', '71.43', '71.43', '71.43', '72.29', '72.29', '72.29', '72.29', '72.29', '70.59', '70.59', '69.77', '69.77', '69.77', '70.59', '70.59', '69.77', '69.77', '68.97', '68.97', '68.97', '68.97', '68.97', '68.97', '69.77', '69.77', '69.77', '69.77', '70.59', '70.59', '70.59', '71.43', '72.29', '72.29', '72.29', '72.29', '73.17', '73.17', '74.07', '74.07', '75.00']"
7,HALV/1054,3.4,5.01,3.93,"['92.31', '92.31', '92.31', '89.55', '88.24', '86.96', '85.71', '85.71', '83.33', '83.33', '83.33', '83.33', '83.33', '83.33', '83.33', '83.33', '84.51', '84.51', '84.51', '85.71', '85.71', '85.71', '86.96', '86.96', '88.24', '89.55', '89.55', '89.55', '90.91', '90.91', '90.91', '89.55', '89.55', '89.55', '88.24', '88.24', '86.96', '86.96', '86.96', '86.96', '86.96', '85.71']"
8,HALV/1054,6.67,5.89,5.0,"['60.61', '59.41', '59.41', '61.22', '62.50', '64.52', '64.52', '64.52', '64.52', '63.83', '63.16', '63.16', '61.86', '61.86', '62.50', '62.50', '62.50', '63.16', '63.83', '64.52', '63.83', '61.86', '61.22', '59.41', '59.41', '58.82', '59.41', '60.00', '61.86', '62.50', '62.50', '61.86', '61.86', '61.86', '62.50', '62.50', '61.86', '61.86', '62.50', '61.86', '61.86', '62.50', '62.50']"
9,HALV/1054,6.01,5.71,5.0,"['72.29', '75.00', '75.00', '75.95', '75.95', '76.92', '76.92', '77.92', '77.92', '76.92', '76.92', '76.92', '77.92', '83.33', '84.51', '84.51', '84.51', '83.33', '83.33', '84.51', '85.71', '85.71', '85.71', '85.71', '85.71', '84.51', '83.33', '83.33', '82.19', '81.08', '82.19', '86.96', '88.24', '89.55', '89.55', '90.91', '90.91', '90.91', '89.55', '90.91', '90.91', '89.55', '90.91']"
10,HALV/1054,4.02,7.48,6.45,"['103.45', '103.45', '103.45', '103.45', '101.69', '101.69', '101.69', '101.69', '100.00', '95.24', '93.75', '92.31', '90.91', '89.55', '88.24', '88.24', '88.24', '88.24', '89.55', '89.55', '90.91', '90.91', '90.91', '92.31', '92.31', '93.75', '93.75', '96.77', '98.36', '100.00', '100.00', '100.00', '101.69', '101.69', '103.45', '103.45', '103.45', '103.45', '103.45', '103.45', '103.45', '103.45']"
11,HALV/1054,6.78,7.69,7.91,"['100.00', '100.00', '101.69', '101.69', '101.69', '101.69', '100.00', '98.36', '100.00', '100.00', '100.00', '100.00', '96.77', '96.77', '93.75', '92.31', '93.75', '93.75', '93.75', '92.31', '92.31', '92.31', '92.31', '93.75', '93.75', '95.24', '95.24', '95.24', '95.24', '93.75', '93.75', '92.31', '92.31', '92.31', '93.75', '93.75', '93.75', '93.75', '93.75', '95.24', '95.24', '95.24']"
12,HALV/1054,9.0,8.34,7.54,"['77.92', '77.92', '78.95', '80.00', '80.00', '80.00', '80.00', '80.00', '78.95', '77.92', '76.92', '75.95', '76.92', '77.92', '78.95', '78.95', '78.95', '77.92', '77.92', '77.92', '77.92', '77.92', '77.92', '78.95', '78.95', '78.95', '78.95', '78.95', '78.95', '78.95', '77.92', '76.92', '76.92', '75.95', '75.95', '74.07', '73.17', '71.43', '71.43', '71.43', '70.59', '71.43']"
13,HALV/1054,5.62,6.06,5.9,"['80.00', '80.00', '80.00', '78.95', '78.95', '78.95', '78.95', '80.00', '80.00', '81.08', '81.08', '82.19', '82.19', '81.08', '81.08', '82.19', '82.19', '81.08', '81.08', '82.19', '81.08', '80.00', '80.00', '80.00', '80.00', '80.00', '80.00', '78.95', '78.95', '80.00', '80.00', '80.00', '81.08', '81.08', '81.08', '81.08', '81.08', '81.08', '81.08', '81.08', '80.00', '80.00', '81.08']"
14,HALV/1054,2.84,5.88,4.02,"['75.95', '75.95', '75.95', '75.95', '75.95', '75.00', '73.17', '72.29', '74.07', '75.95', '76.92', '77.92', '76.92', '76.92', '75.95', '75.95', '75.95', '75.95', '76.92', '76.92', '76.92', '76.92', '76.92', '76.92', '77.92', '77.92', '77.92', '78.95', '77.92', '77.92', '77.92', '77.92', '77.92', '77.92', '76.92', '76.92', '76.92', '76.92', '76.92', '76.92', '76.92', '75.95', '75.95']"
15,HALV/1054,6.96,8.24,7.63,"['75.00', '75.00', '75.00', '75.00', '75.95', '75.95', '75.95', '75.95', '75.95', '75.95', '75.00', '75.00', '75.95', '75.95', '76.92', '76.92', '76.92', '75.95', '75.95', '75.00', '75.00', '75.00', '74.07', '73.17', '73.17', '73.17', '73.17', '73.17', '73.17', '73.17', '73.17', '73.17', '71.43', '71.43', '71.43', '71.43', '72.29', '72.29', '73.17', '73.17', '74.07', '74.07', '74.07']"
16,HALV/1054,6.3,7.77,7.95,"['78.95', '77.92', '76.92', '75.95', '75.95', '75.00', '74.07', '72.29', '72.29', '72.29', '73.17', '73.17', '73.17', '73.17', '73.17', '73.17', '72.29', '72.29', '73.17', '73.17', '75.00', '75.00', '75.95', '75.95', '76.92', '76.92', '77.92', '77.92', '77.92', '77.92', '77.92', '77.92', '77.92', '77.92', '76.92', '76.92', '76.92', '76.92', '76.92', '76.92', '75.00', '73.17']"
17,HALV/1054,3.13,7.37,2.1,"['81.08', '82.19', '82.19', '82.19', '81.08', '81.08', '81.08', '81.08', '81.08', '81.08', '80.00', '80.00', '80.00', '80.00', '80.00', '80.00', '80.00', '80.00', '80.00', '78.95', '77.92', '78.95', '78.95', '78.95', '78.95', '78.95', '77.92', '77.92', '77.92', '78.95', '78.95', '80.00', '80.00', '80.00', '78.95', '77.92', '77.92', '76.92', '76.92', '75.95', '75.95', '76.92', '76.92']"
18,HALV/1054,4.94,7.32,7.28,"['62.50', '63.16', '65.22', '65.22', '65.93', '65.93', '66.67', '66.67', '66.67', '66.67', '66.67', '66.67', '67.42', '67.42', '67.42', '68.18', '68.97', '68.18', '68.18', '68.18', '68.18', '67.42', '65.93', '65.93', '65.93', '64.52', '64.52', '64.52', '65.22', '65.22', '65.22', '63.83', '63.83', '65.22', '65.93', '65.22', '64.52', '64.52', '65.22', '68.18', '68.18', '68.18']"
19,HALV/1054,3.81,3.53,5.0,"['73.17', '72.29', '72.29', '70.59', '70.59', '70.59', '70.59', '70.59', '70.59', '68.97', '68.97', '68.97', '68.18', '68.18', '68.18', '68.97', '68.97', '68.18', '67.42', '67.42', '68.18', '68.97', '69.77', '69.77', '69.77', '69.77', '68.97', '69.77', '69.77', '69.77', '69.77', '69.77', '69.77', '69.77', '68.97', '68.97', '68.97', '68.97', '69.77', '68.97', '67.42', '66.67', '66.67']"
20,HALV/1054,2.38,6.01,5.0,"['67.42', '67.42', '68.18', '68.18', '67.42', '66.67', '65.93', '65.93', '67.42', '67.42', '68.18', '68.18', '68.18', '67.42', '67.42', '68.18', '68.18', '68.18', '69.77', '70.59', '70.59', '70.59', '69.77', '69.77', '69.77', '69.77', '70.59', '70.59', '71.43', '71.43', '71.43', '71.43', '70.59', '70.59', '70.59', '70.59', '70.59', '70.59', '70.59', '70.59', '70.59', '70.59']"
21,HALV/1054,3.79,5.86,6.03,"['85.71', '85.71', '84.51', '83.33', '83.33', '82.19', '82.19', '82.19', '83.33', '83.33', '82.19', '82.19', '82.19', '82.19', '82.19', '82.19', '82.19', '82.19', '82.19', '82.19', '82.19', '83.33', '83.33', '83.33', '84.51', '84.51', '84.51', '85.71', '85.71', '85.71', '85.71', '85.71', '85.71', '85.71', '85.71', '86.96', '86.96', '86.96', '86.96', '86.96', '86.96', '86.96']"
