,Songs,Valence,Arousal,Dominance,HRV
0,LALV/1429,6.1,2.16,3.25,"['68.18', '67.42', '67.42', '68.18', '68.18', '69.77', '69.77', '69.77', '69.77', '69.77', '69.77', '68.97', '68.97', '68.97', '69.77', '69.77', '69.77', '70.59', '70.59', '70.59', '71.43', '71.43', '71.43', '70.59', '70.59', '70.59', '71.43', '71.43', '72.29', '72.29', '71.43', '71.43', '71.43', '71.43', '71.43', '71.43', '72.29', '72.29', '72.29', '73.17', '72.29', '72.29', '70.59']"
1,LALV/1429,2.0,6.92,1.96,"['74.07', '74.07', '74.07', '74.07', '73.17', '73.17', '73.17', '73.17', '74.07', '75.00', '75.95', '76.92', '76.92', '76.92', '75.95', '75.95', '75.95', '75.00', '75.00', '75.00', '75.00', '75.00', '75.95', '75.95', '75.95', '75.95', '75.95', '75.95', '75.95', '75.00', '75.95', '75.00', '75.00', '75.95', '75.95', '75.95', '75.95', '75.00', '75.00', '75.00', '75.00', '75.00']"
2,LALV/1429,9.0,3.92,5.0,"['96.77', '96.77', '98.36', '98.36', '98.36', '98.36', '98.36', '96.77', '96.77', '96.77', '96.77', '98.36', '98.36', '98.36', '98.36', '98.36', '96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '98.36', '100.00', '100.00', '98.36', '98.36', '96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '98.36', '98.36', '96.77', '96.77', '96.77']"
3,LALV/1429,9.0,3.92,5.0,"['68.18', '67.42', '66.67', '67.42', '70.59', '71.43', '72.29', '73.17', '75.00', '75.00', '75.95', '75.95', '77.92', '77.92', '77.92', '77.92', '76.92', '75.95', '75.95', '75.95', '76.92', '76.92', '77.92', '77.92', '77.92', '77.92', '78.95', '78.95', '78.95', '78.95', '78.95', '78.95', '78.95', '80.00', '81.08', '81.08', '81.08', '81.08', '81.08', '80.00', '80.00', '81.08']"
4,LALV/1429,3.06,6.63,3.11,"['68.97', '70.59', '70.59', '70.59', '69.77', '68.97', '68.18', '67.42', '66.67', '65.22', '65.22', '64.52', '65.22', '65.22', '66.67', '67.42', '67.42', '69.77', '69.77', '71.43', '73.17', '74.07', '73.17', '72.29', '70.59', '69.77', '68.97', '68.97', '68.97', '69.77', '69.77', '72.29', '74.07', '75.95', '76.92', '76.92', '77.92', '77.92', '74.07', '74.07', '72.29', '68.97']"
5,LALV/1429,2.9,2.3,2.01,"['74.07', '74.07', '74.07', '74.07', '74.07', '74.07', '74.07', '74.07', '74.07', '73.17', '73.17', '73.17', '73.17', '73.17', '73.17', '73.17', '72.29', '72.29', '73.17', '73.17', '73.17', '73.17', '73.17', '73.17', '73.17', '74.07', '74.07', '74.07', '74.07', '75.00', '75.00', '75.00', '74.07', '74.07', '74.07', '74.07', '74.07', '74.07', '74.07', '75.95', '75.95', '75.95']"
6,LALV/1429,7.27,2.02,6.1,"['72.29', '70.59', '70.59', '69.77', '69.77', '69.77', '70.59', '71.43', '70.59', '69.77', '68.18', '67.42', '67.42', '67.42', '74.07', '75.00', '75.95', '76.92', '76.92', '75.00', '74.07', '73.17', '73.17', '73.17', '73.17', '73.17', '73.17', '74.07', '74.07', '74.07', '74.07', '75.00', '75.00', '75.95', '75.00', '75.00', '74.07', '73.17', '71.43', '71.43', '68.18', '65.93']"
7,LALV/1429,3.06,4.06,2.95,"['93.75', '93.75', '93.75', '90.91', '90.91', '89.55', '89.55', '88.24', '88.24', '86.96', '86.96', '86.96', '88.24', '88.24', '88.24', '88.24', '89.55', '89.55', '90.91', '90.91', '92.31', '92.31', '92.31', '93.75', '93.75', '93.75', '93.75', '95.24', '95.24', '95.24', '95.24', '95.24', '95.24', '95.24', '96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '98.36', '98.36']"
8,LALV/1429,1.0,9.0,1.0,"['58.25', '58.82', '59.41', '59.41', '59.41', '60.00', '61.22', '61.86', '60.61', '60.61', '60.61', '61.22', '61.22', '60.00', '61.22', '61.86', '62.50', '63.16', '62.50', '61.22', '60.61', '60.61', '59.41', '59.41', '60.00', '61.86', '61.86', '61.86', '61.22', '61.22', '61.86', '60.61', '60.00', '59.41', '58.82', '58.25', '58.25', '57.69', '57.69', '57.69', '57.69', '57.69', '57.69']"
9,LALV/1429,2.46,3.0,4.94,"['88.24', '88.24', '88.24', '85.71', '84.51', '85.71', '86.96', '85.71', '80.00', '75.00', '74.07', '73.17', '74.07', '78.95', '80.00', '81.08', '82.19', '83.33', '84.51', '85.71', '85.71', '85.71', '86.96', '85.71', '85.71', '88.24', '88.24', '88.24', '90.91', '92.31', '90.91', '89.55', '86.96', '86.96', '88.24', '92.31', '92.31', '92.31', '89.55', '86.96', '84.51', '83.33', '85.71']"
