,Songs,Valence,Arousal,Dominance,HRV
0,HALV/1964,3.08,4.45,6.87,"['75.95', '75.95', '75.95', '74.07', '74.07', '72.29', '71.43', '70.59', '70.59', '69.77', '69.77', '68.18', '68.18', '67.42', '67.42', '67.42', '66.67', '65.93', '65.22', '64.52', '63.83', '63.16', '63.83', '63.83', '64.52', '66.67', '66.67', '66.67', '66.67', '72.29', '76.92', '77.92', '77.92', '75.00', '74.07', '73.17', '70.59', '68.97', '68.97', '69.77', '70.59', '71.43']"
1,HALV/1964,7.07,6.94,7.66,"['77.92', '77.92', '76.92', '75.95', '75.00', '75.95', '75.95', '76.92', '76.92', '76.92', '76.92', '75.95', '75.00', '74.07', '74.07', '74.07', '74.07', '74.07', '75.00', '75.00', '75.00', '75.00', '75.00', '75.95', '75.95', '75.95', '75.95', '75.95', '75.95', '75.95', '76.92', '76.92', '77.92', '76.92', '76.92', '75.95', '75.00', '74.07', '75.00', '75.95', '75.95', '75.95', '75.00']"
2,HALV/1964,1.0,9.0,1.0,"['95.24', '95.24', '95.24', '96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '98.36', '98.36', '96.77', '96.77', '95.24', '95.24', '95.24', '95.24', '95.24', '95.24', '95.24', '93.75', '93.75', '93.75', '93.75', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '90.91', '90.91', '90.91', '89.55', '89.55', '89.55', '89.55']"
3,HALV/1964,1.0,9.0,1.0,"['78.95', '77.92', '76.92', '75.95', '75.00', '75.00', '75.00', '75.00', '76.92', '77.92', '77.92', '77.92', '78.95', '80.00', '80.00', '80.00', '80.00', '80.00', '80.00', '80.00', '80.00', '80.00', '80.00', '80.00', '80.00', '80.00', '80.00', '81.08', '81.08', '81.08', '81.08', '82.19', '81.08', '81.08', '81.08', '81.08', '81.08', '80.00', '80.00', '80.00', '80.00', '80.00']"
4,HALV/1964,6.93,8.35,3.99,"['75.95', '74.07', '73.17', '72.29', '71.43', '71.43', '70.59', '70.59', '71.43', '71.43', '71.43', '71.43', '72.29', '72.29', '73.17', '74.07', '74.07', '75.95', '75.95', '75.95', '75.00', '75.00', '72.29', '71.43', '72.29', '73.17', '73.17', '74.07', '74.07', '74.07', '74.07', '73.17', '72.29', '73.17', '73.17', '74.07', '75.00', '75.00', '75.95', '75.95', '75.95', '75.00', '74.07']"
5,HALV/1964,9.0,5.0,8.79,"['73.17', '73.17', '73.17', '73.17', '73.17', '73.17', '73.17', '74.07', '73.17', '72.29', '72.29', '71.43', '70.59', '70.59', '70.59', '70.59', '70.59', '70.59', '70.59', '71.43', '72.29', '72.29', '72.29', '72.29', '72.29', '72.29', '72.29', '73.17', '73.17', '73.17', '73.17', '73.17', '73.17', '72.29', '72.29', '71.43', '71.43', '70.59', '71.43', '71.43', '72.29', '72.29']"
6,HALV/1964,5.44,5.91,5.0,"['72.29', '71.43', '70.59', '69.77', '69.77', '68.97', '68.97', '68.97', '69.77', '69.77', '70.59', '69.77', '69.77', '69.77', '69.77', '69.77', '69.77', '68.97', '68.97', '67.42', '67.42', '66.67', '66.67', '67.42', '67.42', '68.18', '68.18', '68.18', '68.97', '68.97', '69.77', '70.59', '70.59', '72.29', '72.29', '72.29', '72.29', '72.29', '71.43', '70.59', '70.59', '71.43', '71.43']"
7,HALV/1964,4.17,6.52,5.0,"['98.36', '98.36', '98.36', '98.36', '96.77', '96.77', '95.24', '93.75', '93.75', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '90.91', '90.91', '92.31', '92.31', '92.31', '93.75', '93.75', '95.24', '96.77', '96.77', '98.36', '98.36', '98.36']"
8,HALV/1964,8.57,8.57,8.57,"['58.82', '58.25', '57.69', '57.14', '57.14', '57.69', '58.25', '58.82', '58.82', '58.25', '57.14', '57.14', '57.69', '57.69', '58.25', '58.82', '58.82', '58.25', '57.14', '56.07', '55.56', '55.05', '55.05', '55.56', '57.69', '58.25', '58.82', '58.25', '56.60', '56.07', '56.07', '56.07', '56.60', '61.22', '63.83', '65.22', '65.22', '64.52', '62.50', '60.00', '59.41', '58.25']"
9,HALV/1964,6.32,6.94,6.88,"['88.24', '89.55', '88.24', '86.96', '88.24', '88.24', '88.24', '86.96', '84.51', '82.19', '82.19', '83.33', '84.51', '85.71', '86.96', '88.24', '88.24', '89.55', '88.24', '88.24', '88.24', '88.24', '86.96', '86.96', '88.24', '88.24', '88.24', '88.24', '86.96', '85.71', '85.71', '85.71', '84.51', '84.51', '84.51', '85.71', '85.71', '85.71', '85.71', '83.33', '83.33', '81.08']"
