,Songs,Valence,Arousal,Dominance,HRV
0,LAHV/1618,5.38,2.78,5.25,"['72.29', '72.29', '72.29', '72.29', '72.29', '71.43', '70.59', '70.59', '70.59', '70.59', '70.59', '70.59', '71.43', '71.43', '71.43', '71.43', '70.59', '69.77', '68.97', '68.18', '68.18', '67.42', '67.42', '67.42', '67.42', '67.42', '67.42', '67.42', '67.42', '66.67', '65.93', '65.93', '65.93', '71.43', '72.29', '73.17', '73.17', '73.17', '73.17', '73.17', '74.07', '74.07']"
1,LAHV/1618,3.03,2.02,2.05,"['80.00', '80.00', '78.95', '78.95', '78.95', '78.95', '80.00', '80.00', '81.08', '81.08', '81.08', '81.08', '81.08', '81.08', '81.08', '80.00', '78.95', '77.92', '77.92', '76.92', '76.92', '77.92', '77.92', '77.92', '77.92', '77.92', '77.92', '77.92', '77.92', '77.92', '77.92', '78.95', '78.95', '78.95', '78.95', '78.95', '78.95', '77.92', '77.92', '78.95', '78.95', '78.95', '80.00']"
2,LAHV/1618,2.8,9.0,5.0,"['100.00', '98.36', '96.77', '95.24', '96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '95.24', '95.24', '95.24', '96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '98.36', '98.36', '98.36', '100.00', '100.00', '100.00', '100.00', '100.00', '98.36', '98.36', '98.36', '98.36', '98.36', '100.00', '100.00', '98.36', '98.36', '96.77', '96.77', '96.77', '96.77', '96.77']"
3,LAHV/1618,2.8,9.0,5.0,"['78.95', '78.95', '78.95', '78.95', '78.95', '78.95', '78.95', '78.95', '78.95', '78.95', '78.95', '78.95', '78.95', '78.95', '78.95', '80.00', '80.00', '80.00', '80.00', '80.00', '80.00', '78.95', '78.95', '78.95', '78.95', '78.95', '80.00', '80.00', '80.00', '78.95', '78.95', '78.95', '78.95', '78.95', '78.95', '80.00', '80.00', '80.00', '78.95', '78.95', '77.92', '78.95']"
4,LAHV/1618,4.02,2.8,5.0,"['74.07', '75.00', '75.95', '76.92', '77.92', '77.92', '78.95', '78.95', '76.92', '75.00', '73.17', '70.59', '67.42', '67.42', '66.67', '66.67', '66.67', '67.42', '67.42', '66.67', '65.22', '64.52', '62.50', '62.50', '63.83', '64.52', '64.52', '64.52', '65.22', '65.22', '66.67', '66.67', '67.42', '67.42', '67.42', '68.18', '68.97', '69.77', '69.77', '69.77', '70.59', '70.59']"
5,LAHV/1618,6.42,2.78,5.0,"['74.07', '73.17', '73.17', '73.17', '73.17', '73.17', '72.29', '72.29', '72.29', '72.29', '72.29', '71.43', '71.43', '71.43', '71.43', '71.43', '70.59', '70.59', '70.59', '70.59', '71.43', '71.43', '71.43', '71.43', '71.43', '71.43', '71.43', '72.29', '72.29', '72.29', '72.29', '72.29', '70.59', '69.77', '69.77', '69.77', '70.59', '72.29', '72.29', '74.07', '75.00', '75.95']"
6,LAHV/1618,4.37,5.44,3.96,"['73.17', '73.17', '72.29', '72.29', '72.29', '72.29', '72.29', '71.43', '71.43', '71.43', '71.43', '70.59', '70.59', '71.43', '71.43', '71.43', '71.43', '70.59', '69.77', '69.77', '70.59', '70.59', '70.59', '70.59', '70.59', '70.59', '70.59', '70.59', '70.59', '71.43', '71.43', '71.43', '72.29', '72.29', '73.17', '73.17', '74.07', '74.07', '74.07', '74.07', '73.17', '74.07']"
7,LAHV/1618,6.26,5.0,5.0,"['93.75', '93.75', '92.31', '92.31', '90.91', '90.91', '90.91', '89.55', '89.55', '89.55', '89.55', '88.24', '89.55', '89.55', '89.55', '90.91', '90.91', '90.91', '92.31', '92.31', '92.31', '93.75', '93.75', '93.75', '93.75', '95.24', '95.24', '95.24', '95.24', '95.24', '93.75', '93.75', '93.75', '93.75', '92.31', '92.31', '93.75', '93.75', '93.75', '92.31', '90.91', '89.55']"
8,LAHV/1618,2.2,4.24,5.0,"['59.41', '58.25', '58.25', '58.82', '58.82', '61.22', '62.50', '62.50', '62.50', '63.16', '62.50', '61.86', '61.22', '60.61', '60.61', '60.61', '61.22', '61.22', '62.50', '62.50', '62.50', '61.86', '61.86', '61.86', '61.86', '61.86', '62.50', '63.16', '63.16', '61.86', '61.86', '60.61', '60.61', '58.82', '57.69', '56.60', '57.14', '56.60', '56.60', '56.60', '57.14', '57.14']"
9,LAHV/1618,6.06,2.92,5.99,"['88.24', '86.96', '86.96', '88.24', '88.24', '88.24', '86.96', '85.71', '84.51', '82.19', '80.00', '78.95', '77.92', '76.92', '75.00', '75.00', '75.00', '75.95', '75.95', '75.95', '75.95', '76.92', '77.92', '78.95', '78.95', '80.00', '81.08', '82.19', '83.33', '83.33', '83.33', '83.33', '83.33', '84.51', '85.71', '85.71', '86.96', '86.96', '86.96', '85.71', '84.51', '84.51']"
10,LAHV/1618,6.94,6.6,6.44,"['105.26', '105.26', '105.26', '105.26', '107.14', '107.14', '107.14', '107.14', '109.09', '109.09', '109.09', '109.09', '111.11', '111.11', '111.11', '111.11', '111.11', '111.11', '111.11', '111.11', '111.11', '111.11', '111.11', '111.11', '111.11', '109.09', '109.09', '109.09', '109.09', '109.09', '109.09', '109.09', '109.09', '109.09', '109.09', '109.09', '109.09', '109.09', '109.09', '109.09', '109.09', '109.09', '109.09']"
11,LAHV/1618,3.93,1.97,3.5,"['98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '95.24', '90.91', '92.31', '92.31', '92.31', '92.31', '92.31', '93.75', '95.24', '95.24', '95.24', '96.77', '96.77', '98.36', '98.36', '98.36', '96.77', '96.77', '96.77', '96.77', '98.36', '100.00', '100.00', '98.36', '96.77', '95.24', '96.77', '96.77', '98.36', '98.36', '100.00', '100.00']"
12,LAHV/1618,2.1,2.84,5.0,"['69.77', '68.97', '68.97', '68.97', '71.43', '72.29', '71.43', '71.43', '70.59', '69.77', '70.59', '70.59', '71.43', '72.29', '73.17', '73.17', '74.07', '74.07', '75.00', '75.00', '75.95', '75.95', '75.95', '75.95', '75.95', '75.95', '75.95', '75.95', '76.92', '76.92', '76.92', '76.92', '76.92', '76.92', '76.92', '76.92', '76.92', '74.07', '73.17', '73.17', '73.17', '73.17']"
13,LAHV/1618,4.03,5.0,5.0,"['78.95', '78.95', '80.00', '78.95', '78.95', '80.00', '81.08', '81.08', '81.08', '81.08', '78.95', '80.00', '80.00', '80.00', '78.95', '80.00', '80.00', '81.08', '81.08', '81.08', '81.08', '81.08', '80.00', '80.00', '80.00', '81.08', '81.08', '81.08', '81.08', '81.08', '80.00', '80.00', '80.00', '80.00', '80.00', '80.00', '78.95', '78.95', '80.00', '80.00', '80.00', '80.00']"
