,Songs,Valence,Arousal,Dominance,HRV
0,LALV/169,6.53,2.51,7.19,"['65.22', '62.50', '60.61', '60.61', '58.82', '57.69', '57.14', '57.69', '58.82', '58.82', '59.41', '60.00', '60.61', '60.61', '61.22', '63.83', '65.22', '66.67', '67.42', '66.67', '65.93', '65.93', '65.93', '66.67', '67.42', '67.42', '67.42', '66.67', '65.93', '65.93', '65.22', '64.52', '64.52', '64.52', '64.52', '65.22', '66.67', '66.67', '67.42', '67.42', '67.42', '65.93', '65.93']"
1,LALV/169,7.01,2.11,6.18,"['75.95', '75.95', '75.95', '75.95', '75.00', '75.00', '75.00', '74.07', '73.17', '72.29', '72.29', '73.17', '73.17', '73.17', '73.17', '72.29', '72.29', '71.43', '69.77', '69.77', '69.77', '71.43', '72.29', '72.29', '72.29', '72.29', '72.29', '72.29', '72.29', '73.17', '73.17', '75.00', '75.00', '75.00', '75.00', '75.00', '74.07', '74.07', '73.17', '74.07', '74.07', '74.07']"
2,LALV/169,9.0,9.0,9.0,"['86.96', '86.96', '86.96', '88.24', '88.24', '88.24', '89.55', '89.55', '89.55', '88.24', '89.55', '89.55', '90.91', '90.91', '90.91', '90.91', '90.91', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '93.75', '93.75', '93.75', '93.75', '93.75', '93.75', '93.75', '95.24', '95.24', '95.24', '93.75', '93.75', '93.75', '93.75', '93.75', '93.75', '93.75', '93.75', '93.75', '92.31']"
3,LALV/169,9.0,9.0,9.0,"['82.19', '81.08', '81.08', '81.08', '81.08', '81.08', '80.00', '80.00', '78.95', '77.92', '76.92', '75.95', '75.95', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '75.95', '75.95', '75.95', '76.92', '76.92', '77.92', '77.92', '80.00', '80.00', '80.00', '80.00', '80.00', '81.08', '81.08', '81.08', '82.19', '82.19', '82.19', '82.19', '82.19', '82.19', '81.08', '81.08', '81.08']"
4,LALV/169,3.08,1.56,3.53,"['74.07', '74.07', '74.07', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '74.07', '73.17', '73.17', '73.17', '75.00', '75.95', '75.95', '76.92', '76.92', '76.92', '75.95', '74.07', '73.17', '68.97', '68.97', '67.42', '66.67', '66.67', '66.67', '66.67', '66.67', '67.42', '68.18', '68.97', '69.77', '70.59', '71.43', '71.43', '71.43', '71.43', '72.29', '72.29', '72.29']"
5,LALV/169,5.0,3.03,2.75,"['70.59', '69.77', '69.77', '68.97', '68.97', '68.97', '69.77', '69.77', '69.77', '69.77', '69.77', '69.77', '70.59', '71.43', '71.43', '71.43', '71.43', '71.43', '72.29', '72.29', '73.17', '74.07', '74.07', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '75.95', '75.95', '75.00', '75.00', '74.07', '74.07', '74.07', '74.07', '73.17', '73.17', '73.17', '74.07', '74.07']"
6,LALV/169,8.11,3.8,5.0,"['73.17', '73.17', '72.29', '71.43', '70.59', '69.77', '68.97', '68.18', '67.42', '68.18', '68.97', '69.77', '71.43', '72.29', '72.29', '72.29', '72.29', '71.43', '70.59', '69.77', '71.43', '72.29', '73.17', '73.17', '72.29', '72.29', '72.29', '72.29', '72.29', '72.29', '72.29', '72.29', '72.29', '72.29', '72.29', '71.43', '69.77', '68.97', '67.42', '65.93', '65.22', '65.22']"
7,LALV/169,5.0,3.84,5.0,"['96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '95.24', '96.77', '95.24', '93.75', '93.75', '93.75', '93.75', '93.75', '93.75', '92.31', '92.31', '90.91', '90.91', '90.91', '89.55', '89.55', '88.24', '89.55', '89.55', '89.55', '90.91', '90.91', '92.31', '92.31', '93.75', '93.75', '93.75', '95.24', '95.24', '93.75', '93.75', '95.24', '95.24', '95.24', '95.24', '95.24', '95.24']"
8,LALV/169,5.85,6.78,5.75,"['60.61', '60.00', '60.00', '60.00', '59.41', '59.41', '60.00', '60.61', '60.61', '60.61', '59.41', '58.25', '57.69', '57.14', '58.25', '60.00', '62.50', '63.83', '63.83', '64.52', '64.52', '63.16', '63.16', '63.16', '63.16', '63.83', '64.52', '64.52', '64.52', '64.52', '63.83', '63.83', '63.83', '63.16', '63.16', '63.83', '63.83', '63.83', '63.16', '61.86', '61.22', '59.41']"
9,LALV/169,5.51,4.73,6.1,"['74.07', '75.00', '75.00', '75.95', '75.95', '75.95', '75.95', '75.00', '74.07', '72.29', '73.17', '74.07', '75.00', '75.00', '73.17', '72.29', '71.43', '71.43', '72.29', '72.29', '72.29', '72.29', '74.07', '75.95', '76.92', '77.92', '78.95', '78.95', '78.95', '78.95', '81.08', '82.19', '81.08', '81.08', '84.51', '84.51', '85.71', '84.51', '84.51', '85.71', '86.96', '85.71']"
