,Songs,Valence,Arousal,Dominance,HRV
0,HAHV/889,6.1,8.0,8.38,"['76.92', '77.92', '80.00', '80.00', '78.95', '75.95', '75.00', '74.07', '74.07', '75.95', '77.92', '76.92', '76.92', '75.95', '75.00', '75.00', '75.00', '75.00', '75.95', '77.92', '77.92', '77.92', '76.92', '75.95', '75.95', '75.00', '75.00', '74.07', '74.07', '73.17', '73.17', '73.17', '73.17', '74.07', '74.07', '73.17', '73.17', '73.17', '73.17', '73.17', '73.17', '73.17']"
1,HAHV/889,7.02,4.18,5.0,"['76.92', '75.95', '76.92', '77.92', '77.92', '78.95', '77.92', '77.92', '77.92', '76.92', '76.92', '76.92', '75.95', '75.00', '74.07', '72.29', '71.43', '71.43', '71.43', '72.29', '73.17', '74.07', '74.07', '74.07', '74.07', '74.07', '74.07', '74.07', '74.07', '74.07', '74.07', '74.07', '74.07', '75.00', '75.00', '75.00', '74.07', '74.07', '74.07', '74.07', '74.07', '75.00', '75.00']"
2,HAHV/889,9.0,6.95,9.0,"['95.24', '95.24', '95.24', '96.77', '96.77', '96.77', '96.77', '96.77', '95.24', '95.24', '96.77', '96.77', '96.77', '98.36', '98.36', '96.77', '96.77', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '96.77', '96.77', '95.24', '95.24', '93.75', '92.31', '93.75', '93.75', '93.75', '95.24', '95.24', '95.24', '95.24', '95.24']"
3,HAHV/889,9.0,6.95,9.0,"['82.19', '82.19', '82.19', '82.19', '82.19', '82.19', '82.19', '82.19', '82.19', '82.19', '82.19', '82.19', '82.19', '82.19', '83.33', '83.33', '83.33', '82.19', '83.33', '83.33', '83.33', '83.33', '83.33', '82.19', '82.19', '81.08', '81.08', '80.00', '80.00', '78.95', '78.95', '77.92', '76.92', '76.92', '76.92', '76.92', '76.92', '77.92', '78.95', '78.95', '80.00', '80.00', '80.00']"
4,HAHV/889,8.0,6.03,6.22,"['70.59', '73.17', '73.17', '73.17', '74.07', '74.07', '74.07', '74.07', '74.07', '73.17', '72.29', '72.29', '69.77', '69.77', '69.77', '69.77', '68.97', '68.97', '69.77', '70.59', '70.59', '70.59', '70.59', '70.59', '71.43', '70.59', '69.77', '68.18', '68.18', '67.42', '66.67', '66.67', '65.93', '65.93', '67.42', '68.18', '68.18', '68.97', '68.97', '69.77', '69.77', '69.77', '70.59']"
5,HAHV/889,7.15,7.48,8.13,"['72.29', '72.29', '72.29', '72.29', '71.43', '71.43', '71.43', '70.59', '70.59', '70.59', '70.59', '70.59', '70.59', '71.43', '71.43', '72.29', '72.29', '72.29', '72.29', '72.29', '71.43', '71.43', '71.43', '71.43', '70.59', '70.59', '70.59', '70.59', '71.43', '71.43', '71.43', '71.43', '70.59', '70.59', '70.59', '70.59', '70.59', '70.59', '70.59', '71.43', '70.59', '70.59', '70.59']"
6,HAHV/889,3.87,7.82,6.44,"['68.18', '68.18', '68.97', '68.97', '69.77', '70.59', '70.59', '69.77', '69.77', '68.18', '66.67', '66.67', '65.93', '65.93', '65.93', '68.18', '69.77', '70.59', '70.59', '69.77', '69.77', '69.77', '69.77', '68.18', '67.42', '65.93', '65.93', '65.93', '67.42', '67.42', '68.97', '69.77', '72.29', '72.29', '73.17', '73.17', '73.17', '73.17', '74.07', '74.07', '74.07', '74.07', '73.17']"
7,HAHV/889,5.57,6.15,5.0,"['100.00', '100.00', '101.69', '101.69', '101.69', '101.69', '101.69', '101.69', '101.69', '101.69', '103.45', '103.45', '103.45', '103.45', '103.45', '103.45', '103.45', '103.45', '105.26', '105.26', '105.26', '105.26', '105.26', '105.26', '105.26', '105.26', '105.26', '105.26', '103.45', '103.45', '103.45', '103.45', '103.45', '103.45', '103.45', '101.69', '101.69', '101.69', '100.00', '100.00', '100.00', '98.36']"
8,HAHV/889,1.0,6.74,5.0,"['62.50', '63.16', '62.50', '62.50', '61.86', '61.22', '61.22', '61.22', '60.61', '59.41', '59.41', '59.41', '60.00', '60.61', '61.22', '61.86', '61.86', '62.50', '63.16', '63.16', '63.16', '63.16', '63.16', '62.50', '62.50', '61.86', '61.86', '60.61', '58.82', '58.25', '57.69', '56.60', '56.07', '57.69', '60.00', '60.00', '60.61', '60.61', '60.61', '60.61', '61.22', '61.22']"
9,HAHV/889,6.62,6.23,5.96,"['80.00', '80.00', '80.00', '80.00', '80.00', '82.19', '82.19', '81.08', '81.08', '80.00', '78.95', '80.00', '81.08', '82.19', '83.33', '83.33', '83.33', '82.19', '82.19', '83.33', '83.33', '83.33', '83.33', '82.19', '82.19', '82.19', '83.33', '84.51', '84.51', '85.71', '85.71', '84.51', '84.51', '83.33', '82.19', '82.19', '81.08', '81.08', '80.00', '78.95', '80.00', '81.08', '82.19']"
