,Songs,Valence,Arousal,Dominance,HRV
0,LALV/206,1.81,6.62,2.81,"['68.18', '68.97', '69.77', '69.77', '68.97', '68.97', '68.97', '69.77', '69.77', '70.59', '71.43', '72.29', '73.17', '73.17', '74.07', '73.17', '73.17', '72.29', '72.29', '70.59', '68.97', '68.18', '68.18', '68.97', '69.77', '69.77', '70.59', '70.59', '70.59', '69.77', '69.77', '69.77', '68.97', '69.77', '68.97', '68.18', '67.42', '67.42', '67.42', '69.77', '71.43', '70.59', '70.59']"
1,LALV/206,6.21,3.78,5.0,"['81.08', '81.08', '81.08', '81.08', '80.00', '81.08', '80.00', '81.08', '81.08', '80.00', '80.00', '78.95', '78.95', '78.95', '78.95', '78.95', '77.92', '76.92', '76.92', '77.92', '76.92', '76.92', '76.92', '76.92', '77.92', '76.92', '76.92', '77.92', '77.92', '77.92', '78.95', '78.95', '80.00', '80.00', '78.95', '78.95', '76.92', '76.92', '75.95', '75.00', '75.00', '75.00']"
2,LALV/206,3.31,3.0,5.0,"['98.36', '98.36', '100.00', '100.00', '100.00', '100.00', '98.36', '98.36', '98.36', '96.77', '96.77', '96.77', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '96.77', '96.77', '96.77', '96.77', '93.75', '93.75', '93.75', '93.75', '93.75', '93.75', '92.31', '92.31', '92.31', '90.91', '92.31', '92.31', '93.75', '93.75', '93.75', '95.24']"
3,LALV/206,3.31,3.0,5.0,"['80.00', '80.00', '81.08', '81.08', '81.08', '81.08', '80.00', '80.00', '81.08', '81.08', '82.19', '82.19', '82.19', '81.08', '81.08', '80.00', '80.00', '80.00', '80.00', '80.00', '80.00', '78.95', '77.92', '75.95', '75.00', '74.07', '73.17', '73.17', '74.07', '75.00', '75.95', '76.92', '77.92', '78.95', '78.95', '80.00', '80.00', '80.00', '80.00', '80.00', '78.95', '78.95']"
4,LALV/206,3.02,6.11,2.83,"['70.59', '69.77', '69.77', '69.77', '69.77', '71.43', '71.43', '72.29', '72.29', '70.59', '68.97', '68.97', '68.18', '66.67', '66.67', '68.18', '68.18', '68.97', '69.77', '71.43', '71.43', '72.29', '73.17', '74.07', '74.07', '75.95', '76.92', '77.92', '78.95', '80.00', '80.00', '80.00', '80.00', '80.00', '78.95', '80.00', '81.08', '81.08', '82.19', '82.19', '83.33', '83.33']"
5,LALV/206,3.33,3.47,3.35,"['72.29', '72.29', '71.43', '70.59', '70.59', '70.59', '70.59', '70.59', '70.59', '69.77', '69.77', '68.97', '68.97', '68.97', '68.97', '68.97', '68.97', '69.77', '69.77', '70.59', '70.59', '71.43', '71.43', '72.29', '72.29', '72.29', '72.29', '73.17', '73.17', '73.17', '73.17', '72.29', '72.29', '72.29', '72.29', '72.29', '72.29', '71.43', '71.43', '71.43', '71.43', '71.43']"
6,LALV/206,4.37,5.88,5.84,"['73.17', '73.17', '73.17', '73.17', '73.17', '73.17', '72.29', '72.29', '72.29', '72.29', '72.29', '72.29', '72.29', '72.29', '72.29', '71.43', '71.43', '69.77', '68.97', '68.97', '68.97', '68.97', '69.77', '70.59', '71.43', '71.43', '71.43', '71.43', '72.29', '72.29', '73.17', '73.17', '73.17', '74.07', '74.07', '74.07', '74.07', '74.07', '74.07', '74.07', '75.00', '75.00']"
7,LALV/206,3.09,4.55,3.68,"['96.77', '98.36', '98.36', '98.36', '98.36', '98.36', '96.77', '96.77', '96.77', '96.77', '96.77', '95.24', '95.24', '95.24', '95.24', '95.24', '95.24', '95.24', '95.24', '95.24', '95.24', '95.24', '95.24', '95.24', '95.24', '95.24', '95.24', '95.24', '95.24', '95.24', '95.24', '95.24', '93.75', '95.24', '95.24', '95.24', '93.75', '93.75', '93.75', '93.75', '93.75', '93.75']"
8,LALV/206,1.92,7.04,3.94,"['62.50', '62.50', '63.16', '62.50', '62.50', '61.86', '61.86', '61.86', '60.61', '59.41', '59.41', '58.82', '58.25', '58.25', '57.14', '56.60', '57.14', '58.25', '60.00', '60.61', '60.61', '61.22', '61.86', '61.86', '60.61', '58.82', '58.82', '59.41', '60.61', '60.61', '59.41', '57.69', '56.60', '56.07', '56.60', '57.69', '58.25', '60.61', '61.22', '61.86', '61.22', '60.61']"
9,LALV/206,2.91,1.97,4.14,"['89.55', '90.91', '90.91', '92.31', '92.31', '92.31', '92.31', '90.91', '86.96', '86.96', '88.24', '86.96', '86.96', '85.71', '85.71', '86.96', '86.96', '86.96', '86.96', '86.96', '86.96', '88.24', '90.91', '92.31', '92.31', '93.75', '93.75', '95.24', '95.24', '96.77', '96.77', '96.77', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '98.36', '100.00']"
10,LALV/206,2.17,1.0,1.5,"['96.77', '96.77', '96.77', '96.77', '98.36', '98.36', '100.00', '100.00', '101.69', '101.69', '101.69', '101.69', '101.69', '101.69', '101.69', '101.69', '101.69', '101.69', '101.69', '101.69', '101.69', '101.69', '101.69', '101.69', '101.69', '101.69', '101.69', '101.69', '100.00', '100.00', '98.36', '96.77', '95.24', '95.24', '95.24', '95.24', '95.24', '95.24', '95.24', '95.24', '95.24', '95.24', '95.24']"
11,LALV/206,4.02,6.97,2.89,"['100.00', '101.69', '101.69', '100.00', '100.00', '98.36', '98.36', '100.00', '100.00', '101.69', '101.69', '101.69', '101.69', '100.00', '100.00', '100.00', '101.69', '101.69', '101.69', '100.00', '98.36', '98.36', '98.36', '98.36', '100.00', '100.00', '100.00', '98.36', '98.36', '96.77', '96.77', '96.77', '98.36', '98.36', '100.00', '100.00', '101.69', '101.69', '100.00', '100.00', '98.36', '98.36']"
12,LALV/206,3.34,2.91,5.0,"['71.43', '70.59', '70.59', '70.59', '70.59', '71.43', '72.29', '72.29', '72.29', '72.29', '71.43', '71.43', '70.59', '70.59', '70.59', '69.77', '68.97', '68.97', '68.18', '68.18', '68.18', '68.18', '68.18', '68.18', '67.42', '67.42', '65.93', '65.93', '66.67', '67.42', '67.42', '69.77', '70.59', '71.43', '71.43', '72.29', '72.29', '72.29', '72.29', '71.43', '71.43', '70.59']"
13,LALV/206,3.05,3.27,3.6,"['82.19', '83.33', '83.33', '83.33', '84.51', '84.51', '84.51', '84.51', '85.71', '84.51', '84.51', '85.71', '85.71', '85.71', '86.96', '86.96', '88.24', '88.24', '88.24', '88.24', '86.96', '88.24', '88.24', '88.24', '88.24', '88.24', '88.24', '86.96', '85.71', '83.33', '83.33', '83.33', '82.19', '82.19', '82.19', '82.19', '82.19', '81.08', '81.08', '81.08', '80.00', '77.92', '77.92']"
14,LALV/206,5.0,2.02,9.0,"['72.29', '71.43', '70.59', '69.77', '68.18', '69.77', '71.43', '72.29', '73.17', '72.29', '71.43', '71.43', '72.29', '72.29', '73.17', '73.17', '72.29', '73.17', '73.17', '72.29', '72.29', '73.17', '73.17', '74.07', '74.07', '74.07', '73.17', '73.17', '73.17', '73.17', '74.07', '74.07', '74.07', '75.95', '75.95', '75.95', '75.95', '77.92', '77.92', '77.92', '77.92', '78.95', '78.95']"
15,LALV/206,3.19,1.0,3.63,"['75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '74.07', '74.07', '73.17', '72.29', '73.17', '75.00', '75.95', '76.92', '77.92', '77.92', '78.95', '78.95', '78.95', '78.95', '78.95', '80.00', '80.00', '80.00', '80.00', '80.00', '80.00', '81.08', '81.08', '80.00', '80.00', '78.95', '80.00', '80.00', '80.00', '80.00', '81.08', '81.08', '81.08', '81.08', '81.08']"
16,LALV/206,2.78,2.4,7.03,"['77.92', '77.92', '77.92', '76.92', '76.92', '75.95', '75.95', '74.07', '73.17', '71.43', '71.43', '72.29', '73.17', '74.07', '75.00', '75.00', '75.95', '75.95', '75.95', '75.95', '75.95', '75.95', '75.95', '76.92', '77.92', '77.92', '78.95', '78.95', '78.95', '78.95', '78.95', '78.95', '78.95', '80.00', '81.08', '81.08', '81.08', '80.00', '78.95', '77.92', '77.92', '77.92']"
17,LALV/206,2.26,6.95,2.78,"['89.55', '89.55', '88.24', '88.24', '86.96', '85.71', '84.51', '84.51', '84.51', '85.71', '86.96', '86.96', '86.96', '88.24', '88.24', '88.24', '89.55', '89.55', '90.91', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '90.91', '89.55', '88.24', '89.55', '90.91', '90.91', '92.31', '92.31', '92.31', '92.31', '93.75', '93.75', '93.75', '95.24', '95.24', '96.77', '96.77', '96.77']"
