,Songs,Valence,Arousal,Dominance,HRV
0,HAHV/561,3.46,2.72,5.06,"['70.59', '68.97', '68.18', '68.18', '67.42', '66.67', '66.67', '66.67', '65.93', '65.93', '65.22', '65.22', '66.67', '67.42', '67.42', '67.42', '67.42', '67.42', '66.67', '65.93', '64.52', '63.16', '61.22', '61.22', '61.22', '71.43', '71.43', '69.77', '69.77', '68.97', '68.97', '68.97', '68.97', '68.97', '71.43', '71.43', '71.43', '70.59', '71.43', '72.29', '72.29', '72.29']"
1,HAHV/561,6.01,5.92,3.81,"['72.29', '72.29', '72.29', '72.29', '72.29', '72.29', '71.43', '70.59', '69.77', '69.77', '68.97', '69.77', '70.59', '70.59', '70.59', '69.77', '69.77', '69.77', '70.59', '70.59', '71.43', '71.43', '71.43', '71.43', '72.29', '72.29', '71.43', '72.29', '72.29', '72.29', '73.17', '73.17', '73.17', '74.07', '73.17', '73.17', '72.29', '71.43', '70.59', '69.77', '69.77', '69.77']"
2,HAHV/561,5.0,7.64,5.0,"['85.71', '85.71', '86.96', '88.24', '88.24', '89.55', '88.24', '88.24', '89.55', '89.55', '90.91', '90.91', '90.91', '90.91', '90.91', '90.91', '90.91', '90.91', '90.91', '90.91', '89.55', '88.24', '89.55', '89.55', '89.55', '89.55', '89.55', '89.55', '89.55', '89.55', '88.24', '88.24', '89.55', '89.55', '90.91', '90.91', '90.91', '92.31', '92.31', '92.31', '92.31', '92.31']"
3,HAHV/561,5.0,7.64,5.0,"['77.92', '75.95', '75.95', '75.00', '75.95', '75.95', '76.92', '77.92', '77.92', '78.95', '80.00', '80.00', '80.00', '80.00', '80.00', '81.08', '81.08', '81.08', '81.08', '81.08', '81.08', '81.08', '80.00', '81.08', '81.08', '81.08', '81.08', '81.08', '81.08', '81.08', '81.08', '81.08', '81.08', '80.00', '80.00', '81.08', '81.08', '81.08', '81.08', '81.08', '81.08', '80.00']"
4,HAHV/561,8.22,8.24,6.53,"['76.92', '75.95', '75.00', '73.17', '73.17', '74.07', '74.07', '74.07', '74.07', '73.17', '72.29', '71.43', '71.43', '72.29', '72.29', '71.43', '70.59', '69.77', '68.97', '67.42', '67.42', '67.42', '67.42', '68.18', '68.18', '68.97', '68.97', '65.93', '65.93', '65.22', '63.83', '63.83', '62.50', '62.50', '63.16', '63.83', '64.52', '65.22', '66.67', '66.67', '68.18', '68.18']"
5,HAHV/561,7.98,6.63,7.01,"['73.17', '73.17', '73.17', '72.29', '72.29', '71.43', '71.43', '71.43', '71.43', '71.43', '71.43', '71.43', '72.29', '73.17', '73.17', '74.07', '75.00', '75.00', '75.95', '75.95', '75.95', '75.95', '76.92', '76.92', '76.92', '76.92', '76.92', '76.92', '75.95', '75.95', '75.95', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '75.95', '75.00', '75.00']"
6,HAHV/561,3.22,6.22,3.41,"['74.07', '74.07', '74.07', '74.07', '74.07', '74.07', '74.07', '74.07', '74.07', '74.07', '74.07', '74.07', '74.07', '74.07', '74.07', '74.07', '74.07', '74.07', '73.17', '73.17', '73.17', '73.17', '73.17', '74.07', '74.07', '74.07', '74.07', '74.07', '74.07', '75.00', '75.00', '75.00', '75.00', '75.00', '75.00', '74.07', '74.07', '73.17', '74.07', '75.00', '75.00', '75.00', '75.00']"
7,HAHV/561,6.89,6.48,5.0,"['83.33', '83.33', '83.33', '84.51', '84.51', '84.51', '85.71', '85.71', '86.96', '86.96', '86.96', '88.24', '88.24', '88.24', '88.24', '88.24', '88.24', '88.24', '89.55', '89.55', '89.55', '90.91', '90.91', '90.91', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '90.91', '88.24']"
8,HAHV/561,2.56,6.11,5.0,"['60.00', '60.00', '60.61', '60.00', '60.00', '60.61', '61.22', '61.22', '61.22', '60.00', '60.00', '59.41', '58.82', '59.41', '61.86', '62.50', '63.83', '63.83', '64.52', '64.52', '63.16', '62.50', '62.50', '61.86', '61.22', '62.50', '63.16', '63.16', '63.16', '61.86', '60.61', '60.00', '58.82', '58.25', '58.25', '58.82', '58.82', '59.41', '60.61', '61.22', '61.22', '61.22', '61.22']"
9,HAHV/561,3.94,5.91,5.0,"['86.96', '88.24', '89.55', '89.55', '89.55', '88.24', '85.71', '84.51', '83.33', '82.19', '82.19', '81.08', '83.33', '84.51', '84.51', '84.51', '85.71', '85.71', '85.71', '85.71', '84.51', '85.71', '85.71', '84.51', '84.51', '81.08', '80.00', '81.08', '81.08', '82.19', '83.33', '83.33', '82.19', '76.92', '75.95', '75.00', '76.92', '75.95', '75.95', '69.77', '66.67', '65.22']"
