,Songs,Valence,Arousal,Dominance,HRV
0,LAHV/1393,4.48,4.56,3.74,"['84.51', '84.51', '84.51', '84.51', '84.51', '83.33', '82.19', '81.08', '80.00', '80.00', '81.08', '82.19', '82.19', '82.19', '82.19', '83.33', '83.33', '82.19', '82.19', '81.08', '81.08', '82.19', '84.51', '84.51', '84.51', '83.33', '82.19', '82.19', '83.33', '83.33', '84.51', '83.33', '82.19', '82.19', '80.00', '78.95', '77.92', '76.92', '75.00', '75.00', '75.00', '74.07', '74.07']"
1,LAHV/1393,5.09,2.79,6.61,"['75.00', '75.00', '75.00', '75.00', '75.00', '75.95', '75.00', '75.00', '75.00', '74.07', '74.07', '74.07', '75.00', '75.00', '75.00', '75.95', '76.92', '76.92', '77.92', '77.92', '77.92', '77.92', '78.95', '78.95', '78.95', '80.00', '80.00', '80.00', '80.00', '80.00', '80.00', '80.00', '80.00', '81.08', '80.00', '78.95', '78.95', '77.92', '77.92', '77.92', '77.92', '77.92']"
2,LAHV/1393,9.0,1.0,7.51,"['92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '93.75', '93.75', '93.75', '93.75', '93.75', '93.75', '93.75', '95.24', '95.24', '95.24', '95.24', '95.24', '93.75', '93.75', '90.91', '88.24', '86.96', '86.96', '86.96', '86.96', '88.24', '88.24', '89.55', '89.55']"
3,LAHV/1393,9.0,1.0,7.51,"['85.71', '86.96', '85.71', '85.71', '85.71', '86.96', '86.96', '86.96', '86.96', '86.96', '86.96', '85.71', '85.71', '85.71', '83.33', '83.33', '83.33', '83.33', '83.33', '83.33', '83.33', '83.33', '83.33', '82.19', '82.19', '82.19', '82.19', '83.33', '83.33', '84.51', '84.51', '84.51', '84.51', '85.71', '84.51', '84.51', '84.51', '84.51', '84.51', '84.51', '85.71', '85.71', '85.71']"
4,LAHV/1393,5.66,7.25,5.09,"['70.59', '72.29', '74.07', '74.07', '75.00', '75.00', '75.00', '74.07', '74.07', '73.17', '73.17', '72.29', '71.43', '70.59', '70.59', '68.97', '68.97', '67.42', '67.42', '67.42', '66.67', '66.67', '64.52', '61.86', '61.86', '61.22', '61.86', '63.16', '65.93', '65.93', '66.67', '68.97', '69.77', '69.77', '69.77', '68.97', '68.18', '68.18', '68.18', '68.18', '69.77', '70.59', '71.43']"
5,LAHV/1393,5.0,5.0,5.0,"['71.43', '72.29', '72.29', '73.17', '73.17', '73.17', '73.17', '73.17', '73.17', '73.17', '73.17', '73.17', '74.07', '74.07', '74.07', '74.07', '74.07', '74.07', '73.17', '73.17', '72.29', '72.29', '72.29', '72.29', '72.29', '72.29', '72.29', '72.29', '72.29', '72.29', '73.17', '73.17', '73.17', '73.17', '73.17', '73.17', '72.29', '72.29', '72.29', '72.29', '72.29', '72.29', '72.29']"
6,LAHV/1393,6.9,2.99,6.12,"['67.42', '66.67', '65.93', '64.52', '64.52', '64.52', '63.83', '63.83', '63.16', '62.50', '62.50', '63.16', '63.16', '63.83', '64.52', '65.93', '72.29', '73.17', '74.07', '75.00', '75.95', '75.95', '75.95', '75.95', '74.07', '72.29', '71.43', '68.97', '67.42', '65.93', '65.22', '64.52', '64.52', '65.93', '65.93', '66.67', '66.67', '67.42', '66.67', '66.67', '65.22', '64.52', '63.83']"
7,LAHV/1393,3.75,3.65,3.12,"['89.55', '89.55', '89.55', '89.55', '89.55', '89.55', '89.55', '89.55', '89.55', '89.55', '90.91', '90.91', '90.91', '90.91', '90.91', '90.91', '89.55', '89.55', '89.55', '89.55', '88.24', '88.24', '88.24', '88.24', '88.24', '88.24', '88.24', '88.24', '88.24', '88.24', '88.24', '88.24', '88.24', '88.24', '88.24', '88.24', '88.24', '88.24', '88.24', '88.24', '86.96', '86.96', '88.24']"
8,LAHV/1393,3.44,3.42,5.0,"['61.22', '59.41', '58.82', '58.82', '58.82', '60.00', '61.22', '61.86', '62.50', '62.50', '61.86', '61.22', '60.61', '60.61', '60.61', '59.41', '58.82', '57.69', '58.25', '60.00', '61.22', '61.22', '61.86', '61.22', '60.61', '60.00', '60.61', '60.00', '60.00', '58.82', '58.25', '58.82', '59.41', '58.82', '58.25', '57.69', '58.82', '59.41', '60.61', '61.22', '61.86', '61.22']"
9,LAHV/1393,4.08,3.06,5.0,"['98.36', '98.36', '96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '95.24', '93.75', '92.31', '92.31', '93.75', '93.75', '92.31', '90.91', '92.31', '92.31', '92.31', '92.31', '92.31', '90.91', '90.91', '90.91', '90.91', '92.31', '92.31', '92.31', '90.91', '90.91', '90.91', '89.55', '89.55', '88.24', '85.71', '84.51', '85.71', '88.24', '88.24', '88.24', '89.55', '89.55']"
