,Songs,Valence,Arousal,Dominance,HRV
0,LALV/1277,7.61,1.0,8.35,"['67.42', '68.18', '68.97', '70.59', '71.43', '72.29', '72.29', '72.29', '72.29', '73.17', '73.17', '74.07', '74.07', '74.07', '73.17', '73.17', '72.29', '72.29', '73.17', '73.17', '74.07', '74.07', '73.17', '73.17', '73.17', '72.29', '72.29', '72.29', '72.29', '72.29', '73.17', '73.17', '73.17', '73.17', '73.17', '73.17', '72.29', '72.29', '72.29', '72.29', '72.29', '73.17']"
1,LALV/1277,7.0,2.97,2.92,"['81.08', '82.19', '82.19', '81.08', '81.08', '80.00', '80.00', '80.00', '81.08', '81.08', '81.08', '81.08', '81.08', '81.08', '81.08', '82.19', '82.19', '82.19', '82.19', '82.19', '83.33', '83.33', '82.19', '82.19', '82.19', '81.08', '81.08', '81.08', '81.08', '81.08', '81.08', '81.08', '81.08', '81.08', '81.08', '78.95', '78.95', '78.95', '78.95', '77.92', '77.92', '77.92']"
2,LALV/1277,9.0,6.02,7.49,"['90.91', '89.55', '89.55', '89.55', '90.91', '92.31', '92.31', '93.75', '93.75', '92.31', '92.31', '92.31', '92.31', '90.91', '90.91', '92.31', '92.31', '92.31', '93.75', '93.75', '93.75', '95.24', '95.24', '95.24', '95.24', '95.24', '95.24', '95.24', '96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '98.36', '98.36', '98.36', '98.36', '96.77', '96.77', '96.77', '96.77', '96.77']"
3,LALV/1277,9.0,6.02,7.49,"['81.08', '81.08', '81.08', '81.08', '81.08', '80.00', '80.00', '80.00', '80.00', '80.00', '80.00', '80.00', '78.95', '78.95', '77.92', '77.92', '77.92', '78.95', '78.95', '78.95', '78.95', '78.95', '78.95', '78.95', '77.92', '78.95', '78.95', '78.95', '78.95', '78.95', '78.95', '78.95', '78.95', '78.95', '78.95', '78.95', '78.95', '80.00', '80.00', '80.00', '80.00', '80.00', '80.00']"
4,LALV/1277,4.15,4.0,4.07,"['72.29', '72.29', '72.29', '72.29', '72.29', '72.29', '73.17', '74.07', '75.00', '74.07', '70.59', '65.22', '63.83', '62.50', '62.50', '63.83', '64.52', '65.93', '65.93', '67.42', '68.18', '68.18', '68.18', '68.18', '68.97', '72.29', '72.29', '73.17', '73.17', '73.17', '73.17', '73.17', '73.17', '73.17', '73.17', '73.17', '74.07', '74.07', '74.07', '74.07', '74.07', '73.17']"
5,LALV/1277,1.0,2.24,2.73,"['70.59', '70.59', '70.59', '70.59', '70.59', '71.43', '71.43', '72.29', '73.17', '73.17', '73.17', '75.00', '75.00', '75.00', '75.95', '75.95', '76.92', '76.92', '75.95', '75.95', '75.00', '74.07', '74.07', '74.07', '74.07', '74.07', '75.00', '74.07', '74.07', '75.00', '74.07', '74.07', '73.17', '72.29', '72.29', '71.43', '71.43', '71.43', '71.43', '71.43', '72.29', '73.17', '73.17']"
6,LALV/1277,7.9,1.9,5.94,"['65.22', '65.22', '65.22', '64.52', '64.52', '64.52', '64.52', '64.52', '65.22', '65.22', '65.22', '65.93', '65.93', '65.93', '65.93', '66.67', '67.42', '67.42', '68.18', '68.18', '68.18', '67.42', '67.42', '68.18', '67.42', '67.42', '67.42', '67.42', '67.42', '67.42', '67.42', '67.42', '67.42', '67.42', '68.97', '68.97', '67.42', '65.22', '64.52', '64.52', '61.22', '60.00']"
7,LALV/1277,3.0,2.8,3.47,"['95.24', '96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '96.77', '98.36', '100.00', '100.00', '100.00', '100.00', '100.00', '100.00', '100.00', '100.00', '101.69', '101.69', '101.69', '101.69', '101.69', '100.00', '100.00', '100.00', '100.00', '100.00', '100.00', '100.00', '100.00', '100.00', '100.00', '100.00', '100.00', '100.00', '100.00', '100.00', '100.00', '98.36']"
8,LALV/1277,2.63,2.47,5.0,"['62.50', '62.50', '60.61', '59.41', '60.00', '61.22', '61.86', '61.86', '61.22', '60.00', '57.69', '57.14', '57.14', '57.69', '57.69', '58.82', '60.00', '60.61', '61.86', '61.86', '61.22', '61.22', '61.22', '61.86', '61.86', '61.86', '61.22', '61.22', '60.00', '60.61', '61.22', '62.50', '62.50', '61.22', '61.22', '61.22', '61.22', '61.22', '61.22', '61.22', '61.22', '61.22']"
9,LALV/1277,5.0,2.86,5.0,"['95.24', '95.24', '93.75', '93.75', '93.75', '92.31', '92.31', '92.31', '90.91', '90.91', '88.24', '88.24', '89.55', '90.91', '92.31', '92.31', '93.75', '93.75', '93.75', '93.75', '95.24', '95.24', '95.24', '95.24', '95.24', '93.75', '95.24', '95.24', '93.75', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '92.31', '89.55', '88.24', '88.24', '88.24', '88.24']"
